"O que são as atividades de emprego limitado da força, segundo a doutrina da Marinha do Brasil?",São aquelas em que a Marinha exercerá o poder de polícia para impor a lei ou um mandato internacional.
"Nas atividades de emprego limitado da força, o que prescreverá a forma de aplicação da força?",A forma de aplicação da força será prescrita em documento legal e refletirá nas regras de engajamento.
Qual é o princípio fundamental sobre o uso da força nas atividades de emprego limitado?,"O emprego da força não deve se constituir no principal meio para se atingir um determinado fim, devendo haver ponderação."
"Em atividades de emprego limitado da força, para qual situação o pessoal deve estar apto e preparado para agir?","Para agir no exercício da legítima defesa própria ou de terceiros, repelindo injusta agressão."
Quais são os principais aspectos que distinguem as atividades de emprego limitado da força das operações de guerra naval?,"O limitado uso da força e os efeitos desejados, que são distintos daqueles obtidos pela interação com inimigos."
O que regula o uso da força nas atividades de emprego limitado do Poder Naval?,"É determinado e regulado por fundamentação legal precisa, planejamento formal, ordens textuais e métodos de controle."
Qual artigo da Constituição Federal (CRFB) prevê a Garantia dos Poderes Constitucionais como atribuição das Forças Armadas?,O artigo 142 da CRFB.
A Garantia dos Poderes Constitucionais é uma atribuição _____ das Forças Armadas.,permanente
Quais são os três Poderes cujo funcionamento e integridade as Forças Armadas devem garantir?,"O Executivo, o Legislativo e o Judiciário."
"Segundo o Parecer GM-025 da AGU, qual é a missão essencial das Forças Armadas?",A defesa da Pátria e a garantia dos poderes constitucionais.
"De acordo com o Parecer GM-025 da AGU, a defesa da lei e da ordem é uma incumbência _____ e _____ das Forças Armadas.",subsidiária e eventual
"A Garantia da Lei e da Ordem (GLO) é uma atribuição _____ das Forças Armadas, prevista no artigo 142 da CRFB.",temporária
A quem compete exclusivamente a decisão de emprego das Forças Armadas na GLO?,Ao Presidente da República.
Quais são as três características que o emprego das FA para a GLO deve ter?,"Ser episódico, em área previamente definida e ter a menor duração possível."
Qual o propósito principal de uma operação de Garantia da Lei e da Ordem (GLO)?,Preservar a ordem pública e a incolumidade das pessoas e do patrimônio.
"Em que situação o emprego das FA na GLO é justificado, conforme o artigo 144 da Constituição?",Em situações de esgotamento dos instrumentos de segurança pública previstos ou quando se presume possível a perturbação da ordem.
Cite uma das tarefas principais que o Poder Naval pode realizar em operações de GLO.,"Proteger portos, seus acessos e fundeadouros, estaleiros ou áreas marítimas restritas."
Qual tarefa o Poder Naval pode executar em GLO relativa a plataformas de petróleo e gás?,Proteger plataformas de exploração e de aproveitamento de petróleo e gás na Plataforma Continental brasileira ou em águas interiores.
O que o artigo 5º do Decreto nº 3.897/2001 prevê sobre a GLO em eventos com autoridades estrangeiras?,Prevê o emprego das FA na GLO em eventos oficiais ou públicos com a participação de Chefe de Estado ou de Governo estrangeiro.
Qual órgão pode requisitar a força federal para garantir a votação e a apuração em eleições?,O Tribunal Superior Eleitoral (TSE).
As ações militares de garantia de votação e da apuração são consideradas operações de _____.,GLO (Garantia da Lei e da Ordem)
Qual decreto prevê o envolvimento das Forças Armadas no sistema de segurança presidencial?,"O Decreto nº 4.332, de 12 de agosto de 2002."
Qual o objetivo do sistema de segurança presidencial?,"Impedir atentados, prevenir danos e evitar incidentes para o Presidente ou Vice-Presidente da República."
Qual artigo da Lei Complementar nº 97/1999 prevê a atuação das FA contra delitos transfronteiriços e ambientais?,O artigo 16-A.
A atuação das FA contra delitos transfronteiriços e ambientais é uma atribuição _____.,subsidiária
Cite uma das ações que as FA podem executar contra delitos transfronteiriços e ambientais.,"Revista de pessoas, de veículos terrestres, de embarcações e de aeronaves."
A Patrulha Naval (PATNAV) é uma atribuição subsidiária particular de qual força?,Da Marinha do Brasil (MB).
Qual é o propósito da Patrulha Naval (PATNAV)?,"Implementar e fiscalizar o cumprimento de leis e regulamentos em AJB, na plataforma continental e no alto-mar."
O que é o GVI no contexto da Patrulha Naval?,"É o Grupo de Visita e Inspeção, composto por militares designados pelo Comandante."
Quando o emprego de armamento portátil pelos componentes do GVI é condicionado durante uma PATNAV?,Quando atos hostis os exponham a risco de morte ou lesão corporal.
"De acordo com a CNUDM, o que constitui pirataria?","Todo ato ilícito de violência, detenção ou depredação cometido para fins privados por uma tripulação contra outro navio em alto-mar."
"Conforme a Lei nº 13.260/2016, quais são as razões que motivam os atos de terrorismo?","Razões de xenofobia, discriminação ou preconceito de raça, cor, etnia e religião."
"Qual a finalidade de um ato para que ele seja considerado terrorismo, segundo a legislação brasileira?","Provocar terror social ou generalizado, expondo a perigo pessoa, patrimônio, a paz pública ou a incolumidade pública."
Qual a diferença entre medidas de antiterrorismo e contraterrorismo?,"Antiterrorismo são medidas defensivas para minimizar vulnerabilidades, enquanto contraterrorismo são medidas ofensivas para evitar, dissuadir ou responder ao terrorismo."
"Quando medidas de contraterrorismo são adotadas contra pessoal, que tipo de elemento deve ser empregado?",Elementos de operações especiais.
Qual atividade ilícita relacionada ao patrimônio genético é fiscalizada pela PATNAV?,O acesso não autorizado ao patrimônio genético e o conhecimento tradicional associado.
Qual o nome da atividade ilícita fiscalizada pela PATNAV que envolve a entrada de mercadoria proibida no país?,Contrabando.
Qual o nome da atividade ilícita fiscalizada pela PATNAV que envolve fraudar o pagamento de imposto de importação/exportação?,Descaminho.
A Inspeção Naval (IN) é uma atividade de cunho _____ prevista na Lei nº 9.537/1997.,administrativo
Quais são os três focos exclusivos da fiscalização realizada pela Inspeção Naval (IN)?,"A salvaguarda da vida humana, a segurança da navegação e a prevenção da poluição ambiental por embarcações."
"Qual o tipo de apoio a Marinha do Brasil pode prestar a órgãos federais na repressão a delitos, como atribuição subsidiária?","Apoio logístico, de inteligência, de comunicações e de instrução."
O que são operações de retomada e resgate?,São operações para retomar navios/instalações e/ou resgatar pessoal de interesse mantidos sob controle ou como reféns por grupos adversos.
Qual grupo especial da MB é empregado para retomada e resgate em meio aquático?,O Grupo Especial de Retomada e Resgate dos Mergulhadores de Combate (GERR/MEC).
Qual grupo especial da MB é empregado para retomada e resgate em terra?,O Grupo Especial de Retomada e Resgate de Operações Especiais (GERR/OpEsp).
De quem é a competência primária para a retomada de navios atracados em área de porto organizado?,Da Polícia Federal.
O que caracteriza a atividade de segurança das instalações navais?,Um conjunto de medidas passivas destinadas a prevenir e obstruir ações adversas de qualquer natureza.
Quais são os três ramos da Segurança do Tráfego Marítimo realizados desde o tempo de paz?,"Monitoramento, Direção e Defesa do Tráfego Marítimo."
Qual organização da Marinha do Brasil executa o Monitoramento do Tráfego Marítimo?,A Organização de Controle Naval do Tráfego Marítimo (ORGACONTRAM).
O que são Operações de Paz (OpPaz)?,"É o emprego da força militar, em apoio a esforços diplomáticos, para manter, impor ou construir a paz em país estrangeiro."
"No âmbito das Nações Unidas, o que é o 'mandato' de uma Operação de Paz?","É o documento formal, resultante de uma resolução do Conselho de Segurança, que estabelece a operação e seus objetivos."
Quais são as duas categorias de participação militar brasileira em Operações de Paz?,"Tropa/navio e individual (observadores militares, oficiais de estado-maior)."
O que é a 'Promoção da Paz' (peacemaking)?,São ações diplomáticas posteriores ao início do conflito para levar as partes a negociarem.
O que é a 'Manutenção da Paz' (peacekeeping)?,"São atividades no terreno, com consentimento das partes, para implementar ou monitorar acordos de paz."
O que são ações de 'Imposição da Paz' (peace enforcement)?,"São ações adotadas ao abrigo do Capítulo VII da Carta da ONU, incluindo o uso de força armada para restaurar a paz."
Por qual motivo o Brasil não participa de operações de 'Imposição da Paz'?,"Devido ao princípio da não intervenção, disposto no artigo 4º da Constituição Federal."
O que é a 'Consolidação da Paz' (peacebuilding)?,"São iniciativas para tratar dos efeitos do conflito, visando recompor estruturas institucionais e recuperar a infraestrutura."
Cite um efeito desejado que o Poder Naval pode buscar em uma Operação de Paz de caráter naval.,"Imposição de sanções ou embargos, ou apoio humanitário."
Cite um efeito desejado que o Poder Naval pode buscar em uma Operação de Paz de caráter terrestre.,Instalação e operação de hospitais de campanha ou limpeza de campos minados terrestres.
Qual é o propósito de uma Operação de Evacuação de Não Combatentes (OpENC)?,"Evacuar para um local seguro pessoal civil, preferencialmente brasileiros, de países onde haja ameaça à sua segurança."
"Em uma OpENC, quem é a autoridade do governo brasileiro para a condução e segurança dos evacuados no país anfitrião?",O Embaixador do Brasil ou a autoridade diplomática em exercício.
Quais são as duas principais diferenças entre uma OpENC e uma operação de resgate?,A duração (OpENC não é necessariamente curta) e o grau de controle sobre os nacionais (em OpENC não estão detidos).
O que caracteriza um 'Ambiente Permissivo' em uma OpENC?,"Não é esperada resistência às operações, e o Comando conta com a concordância e apoio do país anfitrião."
O que caracteriza um 'Ambiente Incerto' em uma OpENC?,As forças do país anfitrião não detêm o controle efetivo do território e da população na região da operação.
