| bibliografia_titulo | paginas | assunto | pergunta | alternativa_a | alternativa_b | alternativa_c | alternativa_d | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Segundo o ex-secretário de defesa William J. Perry, qual é o principal objetivo da nova estratégia militar na era da globalização, em contraste com a Guerra Fria? | A eliminação completa do inimigo por meio de armas químicas e biológicas. | A manutenção do *status quo* geopolítico das potências europeias. | **Conquistar ou enquadrar o inimigo, inserindo-o no mercado global, com o uso de tecnologias de precisão.** | O controle total e permanente de territórios estratégicos na Eurásia. | c | O novo objetivo não é exterminar o inimigo, mas conquistá-lo ou inseri-lo no mercado global, usando tecnologias de precisão, em vez de destruição em massa. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | A nova estratégia de defesa pós-Guerra Fria é definida como **"preventiva"**. Qual é a sua característica fundamental em relação ao inimigo? | Exige um estado de prontidão permanente focado em um único inimigo estatal bem definido. | Baseia-se na emulação e ameaça, visando o controle de vastas áreas geográficas. | **Não há um inimigo definido ou permanente, mas sim "possíveis ameaças" que podem vir de grupos terroristas, crises inesperadas ou instabilidades regionais.** | Foca na destruição indiscriminada de cidades com mísseis de ogivas nucleares. | c | A defesa "preventiva" substitui a emulação de um inimigo permanente por uma atenção a "possíveis ameaças" não estatais ou regionais. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | A Guerra do Golfo (1991), na Operação Tempestade no Deserto, foi citada como a primeira guerra do século XXI, demonstrando a superioridade da revolução técnico-científica militar. Qual conceito logístico-militar se tornou crucial, superando a força bruta e a destruição em massa? | A prontidão permanente de grandes estoques de munições e armamentos. | A dependência exclusiva de infantaria e confrontos por terra. | **A informação (e a velocidade), o controle de qualidade e o *just-in-time*.** | O uso maciço de armamentos nucleares de dissuasão. | c | A Guerra do Golfo provou que a informação, o controle de qualidade e o *just-in-time* se tornaram mais importantes que a força bruta ou a produção em massa. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Como a concepção de soldado mudou nos Estados Unidos e em outros países desenvolvidos no contexto da nova estratégia militar? | Houve um retorno ao alistamento obrigatório de jovens aptos fisicamente. | A força bruta e a habilidade física tornaram-se os atributos mais importantes. | **Foi substituído o alistamento obrigatório pelo engajamento voluntário e pela disputa por profissionais altamente capacitados (engenheiros, analistas) no mercado.** | O treinamento foi drasticamente reduzido para permitir uma mobilização rápida em massa. | c | O conhecimento e a informação se tornaram atributos mais importantes, levando à substituição do alistamento obrigatório pela busca por profissionais altamente capacitados e engajamento voluntário. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Qual é o principal impacto geopolítico da posse de armamentos nucleares por países como China, Índia ou Paquistão, segundo a análise do texto? | É o principal trunfo para conquistas territoriais no jogo mundial de poder. | Torna esses países imunes a sanções econômicas ou críticas da opinião pública. | **Serve, no máximo, para consolidar a soberania nacional, intimidando contra a intromissão, mas é improvável que tenha serventia para conquistas no jogo mundial de poder.** | Garante a liderança inconteste em suas respectivas civilizações. | c | É improvável que o armamento nuclear sirva para conquistas no jogo de poder, sendo útil apenas para consolidar a soberania nacional contra a intromissão externa. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Após o colapso da URSS, quais das quatro nações oriundas da ex-URSS que possuíam armas nucleares foram pressionadas a desativar seus arsenais, permanecendo apenas uma com armas atômicas? | Rússia, Lituânia e Estônia. | **Ucrânia, Cazaquistão e Bielorrússia.** | Rússia, Polônia e Hungria. | Cazaquistão, Tadjiquistão e Uzbequistão. | b | Apenas a Rússia ainda possui armas nucleares; Ucrânia, Cazaquistão e Bielorrússia foram pressionadas a desativá-las. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Qual o mecanismo coercitivo que o texto sugere ser mais utilizado contra países que cometem massacres ou atrocidades em seu território, em vez da intervenção militar (salvo em raras exceções)? | A guerra civil patrocinada por países vizinhos. | O boicote cultural e turístico. | **A sanção econômica.** | A intervenção militar direta da OTAN. | c | O texto afirma que a sanção econômica é o mecanismo de pressão mais usado para situações de massacres, e não a intervenção militar. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | A expansão das redes de televisão e das imagens de satélite gerou o que os norte-americanos chamam de **"efeito CNN"**. Qual é a principal consequência geopolítica desse fenômeno? | Fortaleceu o Estado-nação ao permitir o controle total da informação. | **Influencia ou molda a percepção do público a respeito dos problemas e tem peso nas decisões políticas internacionais.** | Tornou-se um instrumento dócil usado exclusivamente pelo Pentágono. | Eliminou a necessidade de alianças militares tradicionais, como a OTAN. | b | O "efeito CNN" (ou "ideologia da comunicação") alterou a política internacional ao influir na percepção do público e ter peso nas decisões políticas. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | No âmbito da "guerra das informações" e da revolução tecnológica, qual é a principal área de potencial conflito mencionada no texto? | O confronto entre a Rússia e a China pelo controle da Eurásia. | O aumento da proliferação de armas nucleares entre Estados-núcleos. | **O embate entre o Estado (segurança militar) que busca controlar informações estratégicas e o mercado/sociedade civil que defende a liberdade total de restrições.** | A competição entre a China e o Japão pela liderança no Leste asiático. | c | O potencial de conflito opõe o lado que pretende controlar as informações (Estado/militar) e o lado que defende a total liberdade (mercado/público consumidor). | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Qual é a característica fundamental que Henry Kissinger e Zbigniew Brzezinski compartilham na sua visão de política externa? | O idealismo e a crença na "luta entre o bem e o mal". | O universalismo e a defesa incondicional dos direitos humanos no exterior. | **O realismo, que consiste na defesa dos interesses americanos por meio de valores relativos.** | O isolacionismo e a rejeição de qualquer proeminência global. | c | Ambos se identificam com o realismo, recusando o idealismo e focando na defesa dos interesses americanos por meio de valores relativos. | | |
