| bibliografia_titulo | paginas | assunto | pergunta | alternativa_a | alternativa_b | alternativa_c | alternativa_d | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Segundo Francis Fukuyama, o "Fim da História" não significa o fim dos eventos (guerras ou conflitos). Qual é o significado real dessa expressão em sua teoria? | A consolidação do poderio militar norte-americano como única superpotência global. | **O ponto final na evolução ideológica da humanidade e a universalização da democracia liberal como a forma final de governo humano.** | A vitória do materialismo histórico, comprovada pelo fracasso das economias planificadas. | O retorno aos conflitos de interesse nacional, conforme a teoria realista de Hobbes. | b | O Fim da História, para Fukuyama, é o destino teleológico da humanidade, que culmina na universalização da democracia liberal. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Qual é a explicação central dada por Fukuyama para o colapso do mundo socialista e o fracasso das economias planificadas? | O aumento da pressão militar da OTAN e dos Estados Unidos. | **A vitória da "vida protestante" (ética protestante e capitalismo) na consciência das elites, e não razões puramente materiais.** | A intervenção direta dos organismos internacionais como o FMI. | O desenvolvimento tecnológico não conseguido pela URSS no setor militar. | b | Fukuyama argumenta que o colapso não foi material, mas sim ligado à vitória da "vida protestante" na consciência das elites. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Na interpretação de Francis Fukuyama, o sucesso econômico e político de países como Japão e dos NICs (Novos Países Industrializados) asiáticos serve para comprovar: | O fracasso da tese da universalização da democracia liberal. | **Mais uma vitória do "Estado universal homogêneo", no sentido de que o modelo racional (liberalismo) prevaleceu.** | A superioridade das culturas asiáticas em relação à cultura ocidental. | O ressurgimento de regimes autoritários que desafiam a democracia. | b | O sucesso asiático é interpretado por Fukuyama como a adoção do liberalismo econômico seguido pelo político, confirmando o Estado universal homogêneo. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Quais são os dois importantes desafios ou "contradições" da democracia liberal ainda existentes no mundo, segundo Fukuyama? | O retorno do imperialismo territorial e a fragilidade das instituições da ONU. | A persistência das desigualdades de riqueza e o protecionismo comercial. | **O fundamentalismo religioso e o nacionalismo (ou outras formas de consciência étnica).** | A ameaça do Último Homem e o declínio da capacidade tecnológica do Ocidente. | c | Fukuyama aponta o fundamentalismo religioso e o nacionalismo/consciência étnica como os dois importantes desafios à universalização da democracia liberal. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Como Fukuyama argumenta que a universalização da democracia liberal afeta a teoria realista de Hobbes sobre os conflitos internacionais? | Ela reafirma o princípio de que a agressão é inerente à natureza humana. | Ela comprova a necessidade de um Estado Leviatã global para garantir a paz. | **Ela sugere que o imperialismo e a crença no uso da força contra o estrangeiro perdem o sentido com a progressiva uniformização dos regimes.** | Ela demonstra que a agressão se desloca do Estado para os indivíduos (crime organizado). | c | Fukuyama questiona a teoria realista, afirmando que os conflitos entre Estados deixam de ser inerentes com a progressiva uniformização dos regimes políticos liberais. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Qual é o grande perigo que, na visão de Fukuyama, pode levar a uma "volta ao passado" ou a "fazer a história recomeçar novamente" no mundo pós-histórico? | A ameaça de novas armas de destruição em massa. | **A nostalgia do tempo em que a história existia, insistindo no calculismo, na competição e no conflito.** | A falência das instituições internacionais devido à corrupção. | O crescimento das grandes corporações globais que minam o poder estatal. | b | O grande perigo seria a nostalgia da História (em maiúscula), que pode conduzir a um retorno ao calculismo e ao conflito. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Na dialética do senhor e do escravo de Hegel, o que Fukuyama considera ser a principal força motora da História e, consequentemente, a causa das guerras? | A luta pela acumulação material e de recursos. | O determinismo geográfico. | **O "desejo de reconhecimento".** | A necessidade de expansão territorial e demográfica. | c | Fukuyama utiliza o "desejo de reconhecimento" (Hegel) como a força motora da História, que também seria a causa básica das guerras. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | A ciência moderna, na perspectiva de Fukuyama, possui um papel definido na evolução histórica. Qual é esse papel? | A ciência moderna comprova o relativismo cultural. | A ciência moderna é neutra em relação aos sistemas políticos e econômicos. | **A ciência moderna parece ditar uma evolução universal em direção ao capitalismo.** | A ciência moderna apenas reforça a lógica da Guerra Fria (corrida armamentista). | c | Fukuyama afirma que a ciência moderna é um fator que "parece ditar uma evolução universal" em direção ao capitalismo. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Qual das características abaixo define o "último Homem" (Nietzsche), que surgiria com o final da História na interpretação de Fukuyama? | O homem guerreiro, agressivo, que luta por causas elevadas e ideais. | O homem que continua a lutar pela liberdade e pelos direitos humanos. | O homem que busca ativamente o conflito e a competição no plano internacional. | **O homem medíocre, relativista, que se contenta em ficar em casa e congratular-se por sua liberdade.** | d | O "último Homem" é o indivíduo medíocre e complacente, sem grandes causas pelas quais lutar, que nasce com o final da História. | | |
