| bibliografia_titulo | paginas | assunto | pergunta | alternativa_a | alternativa_b | alternativa_c | alternativa_d | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Ignácio Ramonet descreve o mundo pós-Guerra Fria como uma "desordem mundial" ou caos. Qual é o principal motivo alegado para essa desordem? | A crescente intervenção militar dos Estados Unidos na África. | O retorno de regimes comunistas em países da ex-URSS. | **A ausência de regulação, o predomínio do mercado instável e a multiplicação de conflitos intraestatais.** | A excessiva regulação estatal nas comunicações globais. | c | Ramonet define o caos pela ausência de regulação, predomínio do mercado e a multiplicação de conflitos internos, máfias e exclusões. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Segundo Ignácio Ramonet, sobre quais dois pilares principais o sistema mundial contemporâneo repousa, tendo um deles substituído a antiga "ideologia do progresso"? | O Estado-nação e o Poder Militar. | As Nações Unidas e as Organizações Não Governamentais. | A Regulação Estatal e o Protecionismo. | **O Mercado e a Ideologia da Comunicação.** | d | O sistema mundial repousa sobre o mercado e a ideologia da comunicação, que substituiu a ideologia do progresso. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Ramonet aponta uma contradição fundamental no final do século XX que confronta "federalismo ou barbárie". Qual fenômeno representa a "barbárie" nessa contradição? | A expansão da União Europeia. | O avanço do neoliberalismo. | **O renascimento de nacionalismos, ascensão de fundamentalismos e movimentos separatistas.** | A busca por uniões econômicas regionais. | c | A contradição existe entre a busca por uniões econômicas regionais (federalismo) e o renascimento de nacionalismos, fundamentalismos e desmembramentos de Estados (barbárie). | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Em sua crítica ao neoliberalismo, Ramonet descreve as "empresas globais" da nova aristocracia planetária. Qual é a característica essencial dessas novas empresas, em contraste com as multinacionais dos anos 1970? | Possuem um forte centro político e pátria definida nos EUA. | Têm como principal objetivo a expansão territorial militar. | **São organismos sem centro ou pátria, apenas redes que obedecem à produtividade e rentabilidade.** | Focam na garantia de empregos e benefícios sociais em países subdesenvolvidos. | c | Ramonet afirma que as "empresas globais" não possuem mais centro ou pátria, sendo redes desprovidas de cabeça ou coração, focadas unicamente em produtividade e rentabilidade. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Qual é a principal proposta de Ignácio Ramonet para lidar com a desordem mundial e o neoliberalismo que dominam o cenário global? | A desregulamentação total do sistema financeiro internacional. | O fim de todas as organizações supranacionais como a ONU e o FMI. | A intensificação da inovação tecnológica para aumentar a produtividade. | **Mais controle e autoridade dos Estados, mais regulamentações (especialmente na Europa) e a reformulação da ONU.** | d | Ramonet advoga fundamentalmente por mais controle e autoridade dos Estados e mais regulamentações, além da reformulação da ONU. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | O texto levanta uma crítica de **incoerência** à visão de Ramonet. Qual é essa crítica? | Seu apoio à hegemonia americana contradiz sua defesa dos países pobres. | Seu lamento pela inovação tecnológica é incoerente com o sucesso econômico europeu. | **Seus apelos por regulamentações que garantam empregos e atividade agrícola na Europa contradizem a necessidade dos países pobres de aumentar suas exportações.** | Sua defesa do federalismo é incompatível com a crítica à ideologia da comunicação. | c | O protecionismo europeu, defendido por Ramonet para garantir empregos na Europa, é um entrave às exportações e ao desenvolvimento dos países pobres. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Zaki Laïdi argumenta que a nova ordem mundial pós-Guerra Fria é **pós-moderna**. Qual é a característica central que ele atribui a essa nova ordem, em contraste com a ordem bipolar? | É tensa e marcada por um risco nuclear iminente. | É perfeitamente coerente, com o fator econômico prevalecendo sobre os demais. | **É "desprovida de sentido" (senso), pois não há um fator dominante ou verticalidade de valores prevalentes.** | É unipolar em todos os seus aspectos (político, militar e cultural). | c | Laïdi afirma que a nova ordem perdeu o sentido ou senso, que existia na ordem bipolar devido à verticalidade do conflito Leste versus Oeste. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | A nova ordem mundial pós-Guerra Fria é caracterizada por Laïdi pela **horizontalidade**. O que essa horizontalidade implica? | O aumento da hierarquia entre os conflitos (principal e secundários). | A intensificação da diferença entre centro e periferia. | **A diluição da diferença entre o centro e as periferias e a falta de coerência entre o poderio econômico e o político-militar.** | A volta da soberania nacional como fator decisivo no cenário global. | c | A horizontalidade implica a diluição da diferença entre centro e periferia, e a falta de correspondência entre os diferentes tipos de poder. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Qual país é utilizado por Zaki Laïdi como exemplo da desarticulação na nova ordem, possuindo vasto poder econômico, mas não coerência no poder político-militar ou cultural (não propaga um senso)? | China | Estados Unidos | **Japão** | Alemanha | c | O Japão é citado como uma potência econômica mundial, mas não político-militar e nem cultural, exemplificando a desarticulação de poderes. | | |
