| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | O mundo pós-Guerra Fria, segundo Ignácio Ramonet, é uma "desordem mundial" marcada pela ausência de regulação, multiplicação de conflitos internos e ascensão do crime organizado. | Ignácio Ramonet descreve a nova ordem mundial pós-Guerra Fria como um período de estabilidade e forte regulação estatal, eliminando a multiplicação de conflitos internos. | Ramonet define a nova ordem como um caos devido à falta de regulação estatal, predomínio do mercado e proliferação de conflitos intraestatais e crime organizado. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Para Ignácio Ramonet, o sistema mundial atual se apoia em dois pilares principais: o mercado e a ideologia da comunicação, que substituiu a ideologia do progresso. | Ignácio Ramonet defende que o sistema mundial pós-Guerra Fria ainda se apoia nos pilares da Guerra Fria: o controle estatal absoluto e a ideologia do progresso. | Ramonet afirma que o sistema mundial repousa sobre o mercado e a ideologia da comunicação, substituindo a ideologia anterior do progresso. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Ramonet aponta uma contradição na situação mundial pós-Guerra Fria, com Estados buscando uniões econômicas regionais enquanto outros experimentam movimentos separatistas e desmembramento. | Ramonet observa uma coerência total no cenário pós-Guerra Fria, onde todos os Estados estão se fundindo em grandes uniões econômicas regionais. | Ele nota a contradição entre a tendência ao federalismo (uniões econômicas) e o renascimento de nacionalismos e movimentos separatistas (barbárie). | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Ramonet critica o neoliberalismo como parte da “neo-hegemonia americana”, que utiliza as “empresas globais” (sem pátria definida) e novos agentes financeiros para construir um “novo regime globalitário”. | Ramonet elogia a “neo-hegemonia americana” por restaurar a ordem por meio das empresas multinacionais clássicas, que têm forte apego à sua nacionalidade. | O projeto neoliberal, parte da neo-hegemonia americana, utilizaria empresas globais sem pátria, focadas em produtividade e rentabilidade, para construir um regime globalitário. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | A proposta de Ramonet para lidar com a desordem mundial inclui fundamentalmente mais controle e autoridade dos Estados, mais regulamentações e uma reformulação da ONU. | Ramonet propõe a desregulamentação total dos mercados e o enfraquecimento das instituições estatais para permitir que o mercado resolva o caos mundial. | Ele advoga por mais controle e autoridade dos Estados, mais regulamentações (em especial na Europa) e a reformulação de instituições internacionais como a ONU. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | O clamor de Ramonet contra a desigualdade é incoerente com seus apelos por regulamentações que garantam empregos na Europa, já que o protecionismo europeu prejudica as exportações dos países pobres. | Os apelos de Ramonet por proteção social e emprego na Europa são vistos como totalmente coerentes e benéficos para os países pobres, pois estabilizam o comércio global. | O protecionismo europeu, defendido por Ramonet para garantir o emprego e a agricultura na Europa, é um entrave para o aumento das exportações dos países pobres. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Zaki Laïdi argumenta que a nova ordem mundial é pós-moderna e desprovida de sentido, pois não existe um fator dominante ou padrões de valores que prevaleçam, ao contrário da ordem bipolar. | Laïdi afirma que a nova ordem pós-Guerra Fria é caracterizada por um sentido claro, onde o econômico prevalece sobre o ideológico e o político-militar. | Laïdi descreve a nova ordem como pós-moderna e sem sentido, onde a verticalidade ideológica do conflito Leste versus Oeste foi perdida. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | A nova ordem mundial pós-Guerra Fria é marcada pela horizontalidade, o que implica uma diluição da diferença entre centro e periferia e a ausência de hierarquia entre conflitos. | A nova ordem, segundo Laïdi, é mais tensa que a bipolaridade, e o risco de holocausto nuclear aumentou devido à nova verticalidade política imposta pelos EUA. | A ordem seria relaxada pelo afastamento do risco nuclear, mas teria perdido a lógica devido à horizontalidade, diluindo a diferença entre centro e periferia e a hierarquia dos conflitos. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | O Japão exemplifica a desarticulação da nova ordem, sendo uma potência econômica mundial, mas não possuindo o mesmo poder político-militar ou cultural (não propaga um senso). | Zaki Laïdi usa o Japão como exemplo de uma nação que, na nova ordem, conseguiu unificar seu poder econômico, político-militar e cultural, tal como os EUA. | O Japão é usado como exemplo da falta de correspondência entre os diferentes tipos de poder (econômico versus político-militar e cultural) na nova ordem. | | |
