| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Edward N. Luttwak argumentou que as guerras militares foram substituídas pelos conflitos econômicos, um conceito que ele denominou "geoeconomia". | Edward N. Luttwak argumentou que o poder militar, após o colapso da URSS, aumentou sua importância na questão da hegemonia mundial, mantendo a geopolítica como força motriz. | Luttwak proclamou que as guerras militares foram substituídas pelos conflitos econômicos, redefinindo as relações internacionais determinadas pelo poderio militar para a lógica do comércio. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Luttwak reinterpretou a célebre formulação de Clausewitz, afirmando que agora “A lógica da guerra está subsumida [incorporada] à gramática [às regras] do comércio”. | Luttwak afirmou que a gramática do comércio está subsumida à lógica da guerra, indicando que os conflitos militares ainda ditam as regras econômicas. | Segundo Luttwak, a lógica da guerra foi incorporada às regras do comércio, evidenciando a substituição da geopolítica pela geoeconomia. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Luttwak sugeriu que a Guerra do Kosovo marcou uma mudança radical no tema da soberania, permitindo a interferência dentro de um território nacional em nome dos direitos humanos ou do sistema global. | Luttwak defendeu que a Guerra do Kosovo reforçou a soberania definida pelo Tratado de Westfália, que garante a não ingerência estrangeira no espaço de dominação de um Estado. | O evento do Kosovo, segundo Luttwak, consagrou uma nova era de enfraquecimento relativo do Estado nacional, permitindo a interferência em nome de valores globais como os direitos humanos. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Luttwak enfatizou que a disputa principal do Estado norte-americano, após o fim da Guerra Fria, não seria mais com o comunismo, mas sim com rivais comerciais como o Japão e a União Europeia. | Luttwak enfatizou que, mesmo após a crise do socialismo, a corrida mundial continuava sendo primordialmente ideológica e militar, contra potenciais ressurgimentos de regimes adversários. | Luttwak foi um dos primeiros a enfatizar que a corrida agora é pela conquista de mercados, déficits na balança comercial e ganhos monetários através de novas tecnologias, não mais ideológica ou militar. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Lester Thurow, em sua obra *Head to Head*, argumentou que o confronto mundial deixou de ser militar para se tornar econômico, sendo o jogo simultaneamente competitivo e cooperativo. | Lester Thurow afirmou que, apesar do fim da Guerra Fria, os confrontos militares continuaram a ser o principal motor, e a competição econômica permaneceu estritamente adversarial, sem espaço para cooperação. | Thurow desenvolveu a ideia de que as "guerras econômicas" passaram a dominar, sendo a competição econômica um jogo simultaneamente competitivo e cooperativo. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Lester Thurow previu que o século XXI não teria uma única potência dominante, mas seria marcado pela disputa entre três centros mundiais de poder: Japão, Europa (liderada pela Alemanha) e Estados Unidos. | Lester Thurow previu que o século XXI seria dominado por uma única potência, seguindo o padrão do século XX (EUA) e do XIX (Britânico). | Thurow anteviu que o século XXI seria multipolar, com três centros mundiais de poder: Japão, Europa (Alemanha) e Estados Unidos. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Para Thurow, a competição atual não se dá mais por territórios (militar ou ideologicamente), mas sim em produtividade, nível tecnológico e educacional, e padrão de vida e consumo per capita. | Segundo Thurow, a interdependência econômica no mundo globalizado fez com que a competição voltasse a se concentrar na conquista de territórios, como era no início do século XX. | Com o crescimento da interdependência entre as economias, a disputa atual se concentra em fatores como produtividade, tecnologia e padrões de vida, e não mais em territórios. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Lester Thurow denominou cinco grandes mudanças globais que alteram a geografia política do globo como as “cinco placas tectônicas”, incluindo a transição do socialismo e a multipolaridade. | Thurow, em seu livro de 1996, reduziu as causas das mudanças globais a apenas duas forças: a estagnação chinesa e as crises militares nos Bálcãs, desconsiderando a globalização. | As cinco placas tectônicas mencionadas por Thurow são: transição problemática do socialismo, globalização, mudanças tecnológicas, multipolaridade e mudanças demográficas. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Lester Thurow defendeu que o único perigo realmente sério para o futuro do capitalismo é ele próprio, especificamente as desigualdades e injustiças que o mercado pode ocasionar. | Thurow afirmou que o principal perigo para o capitalismo no século XXI são as ideologias alternativas, como o nazifascismo e o comunismo, que não fracassaram completamente. | Ele argumenta que todos os concorrentes do capitalismo fracassaram no século XX, sendo o único perigo sério as desigualdades e injustiças internas do próprio sistema que podem gerar descontentamento. | | |
