| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Novas Geopolíticas | Cap 2 | Choques culturais | Samuel P. Huntington propôs que a fonte fundamental de conflito no mundo pós-Guerra Fria não seria essencialmente ideológica nem econômica, mas fundamentalmente cultural. | Samuel P. Huntington argumentou que os conflitos após a Guerra Fria são predominantemente econômicos (como entre blocos regionais), com a cultura desempenhando um papel secundário. | A tese de Huntington é a de que a fonte predominante de conflito nesse novo mundo será de ordem cultural, dominada pelo choque de civilizações. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Segundo Huntington, embora as nações-Estado continuem a ser os agentes mais poderosos nos eventos globais, os principais conflitos ocorrerão entre nações e grupos de diferentes civilizações. | Huntington defende que as civilizações, ao se tornarem os principais agrupamentos globais, substituíram o Estado-nação como o agente mais poderoso na política mundial. | Huntington afirma que as nações-Estado continuarão a ser os agentes mais poderosos, mas os conflitos dominantes ocorrerão nas linhas de cisão entre civilizações. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Huntington define civilização como a identidade cultural mais ampla de um povo, estando em um nível de identificação que só é superado pela espécie humana. | Huntington restringe o conceito de civilização principalmente à filiação religiosa e linguística, desconsiderando a identidade cultural mais ampla de um povo. | Civilização é definida por Huntington como a identidade cultural mais ampla de um povo, que se identifica, no limite, como ocidental, islâmico, etc.. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | As "linhas de cisão" (lines of cleavage) são, segundo Huntington, as áreas fronteiriças entre as civilizações onde os choques ocorreriam com maior intensidade e onde haveria uma “luta pelo controle do território”. | As "linhas de cisão" são as áreas do globo que experimentam a maior fusão cultural, promovendo a paz e a cooperação entre civilizações. | As linhas de cisão entre as civilizações são as áreas onde há significativa presença de civilizações diferentes e ocorre uma "luta pelo controle do território de cada uma". | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Huntington sugere que o período entre a Paz de Westfália e o fim da Guerra Fria foi um padrão "ocidental" de história, que temporariamente desviou-se do padrão normal de predominância dos conflitos civilizacionais. | Huntington afirma que os conflitos civilizacionais prevaleceram continuamente nos últimos séculos, sendo a Guerra Fria apenas o exemplo mais recente dessa disputa cultural. | A história da humanidade teria saído temporariamente do seu padrão normal de conflitos civilizacionais, vivendo um padrão ocidental baseado em conflitos de nações e interesses ideológicos/econômicos. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Huntington argumenta que os novos conflitos não podiam ser explicados pelos paradigmas anteriores, pois os povos já não se agrupavam apenas em ricos e pobres, democráticos e não democráticos, ou blocos ideológicos. | Os paradigmas existentes (ricos/pobres, democráticos/não democráticos) são, segundo Huntington, plenamente suficientes para explicar a totalidade dos conflitos pós-Guerra Fria. | Huntington argumentou que os paradigmas existentes eram insuficientes para explicar os novos acontecimentos, sendo necessária uma nova diferenciação no mapa-múndi baseada na cultura. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Huntington afirma que o que realmente importa para as pessoas é a família, a fé e as crenças, e que "por cultura é que se morre", justificando a centralidade dos choques civilizacionais. | Huntington enfatiza que o interesse econômico e a disputa por recursos naturais são a principal motivação pela qual as pessoas lutam e morrem no mundo atual. | Huntington afirma que "por cultura é que se morre", e a fé e as crenças são o que importa de fato para as pessoas, validando o choque de civilizações como melhor abordagem. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | A Bósnia-Hezergovina e o Kosovo são apresentados por Huntington como exemplos de áreas localizadas exatamente em linhas de cisão, representando disputas entre civilizações distintas. | Huntington considera as guerras na Bósnia e no Kosovo como choques estritamente internos (intracivilizacionais) sem relevância para a política global. | Bósnia-Hezergovina e Kosovo são citadas como áreas em linhas de cisão, onde ocorrem disputas entre grupos de diferentes civilizações (ocidentais, islâmicos e eslavos ortodoxos). | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Huntington definiu a nova ordem mundial em 1996 como "multipolar e multicivilizacional", reconhecendo que os agrupamentos mais importantes de Estados são as sete ou oito grandes civilizações. | A nova ordem mundial é definida por Huntington como unipolar e monocivilizacional, reforçando o domínio econômico e cultural definitivo do Ocidente. | Huntington define a nova ordem mundial como “multipolar e multicivilizacional”, onde os Estados atuam pela busca de poder e riqueza, mas agrupamentos civilizacionais são os mais importantes. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Huntington afirma que os conflitos ou as guerras intracivilizações, como os choques de clãs na Somália, têm importância somente regional, ao contrário dos conflitos intercivilizações, que têm repercussão global. | Para Huntington, os choques intracivilizações são os mais perigosos, pois desestabilizam internamente as grandes civilizações, enquanto os choques intercivilizações são facilmente contidos. | Ele afirma que os conflitos intracivilizações têm somente importância regional, ao passo que os intercivilizações são os mais perigosos e que têm repercussão global. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | O conceito de “Estado-núcleo de uma civilização” representa o chefe ou líder dos demais Estados daquele bloco civilizacional, cuja função é manter a ordem interna e mediar conflitos mundiais. | O Estado-núcleo é a categoria utilizada por Huntington para designar potências hegemônicas que buscam desmantelar sua própria civilização em favor do Ocidente. | Os Estados-núcleos são os líderes do bloco civilizacional, que atuam como mediadores e proporcionam apoio e disciplina aos demais Estados. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Huntington observa que civilizações que carecem de um Estado-núcleo, como a africana, a islâmica e a latino-americana, enfrentam maiores problemas para criar ordem interna e resolver disputas. | A ausência de um Estado-núcleo é vista por Huntington como benéfica para uma civilização, pois facilita a resolução de conflitos internos e a autonomia. | Quando uma civilização carece de um Estado-núcleo (como as mencionadas), existem maiores problemas para criar ordem no seio delas e para resolver disputas intercivilizacionais. | | |
