| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Francis Fukuyama argumenta que o Fim da História não significa o fim dos eventos (guerras ou conflitos), mas sim a universalização da democracia liberal como a forma final do governo humano. | Francis Fukuyama argumenta que o Fim da História significa o fim de todos os eventos (guerras e conflitos) e o início de uma era de paz completa. | O Fim da História, para Fukuyama, refere-se ao destino teleológico da humanidade, que é a democracia liberal, e não ao fim dos eventos ou conflitos. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Segundo Fukuyama, o colapso do mundo socialista e o fracasso das economias planificadas se devem essencialmente à vitória da "vida protestante" na consciência das elites. | Segundo Fukuyama, o colapso da URSS foi ocasionado exclusivamente por razões materiais, provando o fracasso das forças produtivas marxistas. | Fukuyama alega que o colapso do socialismo estava ligado à vitória da "vida protestante" (ética protestante e capitalismo) na consciência das elites, e não a fatores puramente materiais. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Fukuyama utiliza o sucesso do Japão e dos NICs asiáticos como prova de que a adoção do liberalismo econômico seguido pelo político confirma o "Estado universal homogêneo". | Fukuyama considera o sucesso do Japão e dos NICs asiáticos como um desafio à democracia liberal ocidental, representando um modelo alternativo de desenvolvimento. | Fukuyama enxerga o sucesso asiático como mais uma vitória do "Estado universal homogêneo", no sentido de que o modelo racional (liberalismo) prevaleceu. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Fukuyama aponta o fundamentalismo religioso e o nacionalismo, ou outras formas de consciência étnica, como os dois importantes desafios ou "contradições" da democracia liberal. | As duas principais contradições da democracia liberal são, segundo Fukuyama, a persistência do imperialismo territorial e o baixo nível de participação dos cidadãos. | Fukuyama aponta o fundamentalismo religioso e o nacionalismo (ou consciência étnica) como os dois desafios significativos à universalização da democracia liberal. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Fukuyama questiona a teoria realista de Hobbes, afirmando que os conflitos entre Estados deixam de ser inerentes com a progressiva uniformização dos regimes políticos liberais. | Fukuyama reafirma a teoria realista de Hobbes, defendendo que a agressão e a insegurança são parte da natureza humana e inerentes às relações internacionais, independentemente do regime. | Fukuyama acredita que, com a expansão do liberalismo, o imperialismo e a crença no uso da força contra o estrangeiro perdem o sentido. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | O grande perigo, para Fukuyama, no mundo pós-histórico seria a nostalgia do tempo em que a história existia, o que pode levar a um retorno ao calculismo e ao conflito. | Fukuyama considera que, com o final da História, a única ameaça restante é o declínio da capacidade tecnológica do Ocidente. | A nostalgia do tempo da História (em maiúscula) pode conduzir a uma volta ao passado, insistindo no calculismo e no conflito, o que Fukuyama considera o grande perigo. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | A ciência moderna, na visão de Fukuyama, "parece ditar uma evolução universal em direção ao capitalismo". | Fukuyama sugere que a ciência moderna não tem relação direta com a evolução política ou econômica, sendo neutra em relação à escolha de regimes. | Fukuyama utiliza a ciência moderna como um fator que "parece ditar uma evolução universal" em direção ao capitalismo, o que reforça a ideia do destino teleológico. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | A universalização do liberalismo resultaria em um mundo com menor incentivo para as guerras, pois o "desejo de reconhecimento" (Hegel) seria satisfeito no Estado liberal. | A universalização do liberalismo, para Fukuyama, aumenta os incentivos para as guerras, pois os Estados ainda competirão pelo desejo de reconhecimento hegeliano. | A guerra seria motivada pelo desejo de reconhecimento, mas com a universalização do liberalismo, os incentivos para a guerra seriam menores. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Com o final da História, surgiria o “último Homem” (Nietzsche) que, por não ter mais causas pelas quais lutar, se contentaria em ficar em casa e congratular-se por sua liberdade. | O "último Homem" de Nietzsche, incorporado por Fukuyama, é o homem guerreiro e agressivo que busca ativamente conflitos por ideais. | Nietzsche considerava medíocre o "último homem" que nasce com o final da História, por ser relativista e complacente, sem grandes causas. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Fukuyama argumenta que a esfera social e moral tem um processo cíclico de rupturas e reconstituições, estando em um ciclo de ruptura desestabilizado pela evolução tecnológica. | Fukuyama defende que tanto a esfera política quanto a social e moral chegaram ao seu destino teleológico, garantindo a estabilidade social permanente na pós-História. | A esfera política e econômica é progressiva e chegou ao fim; a esfera social e moral é cíclica, e Fukuyama aponta que o desafio é reconstituir a ordem social desestabilizada. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | A questão central por trás da interpretação de Fukuyama é se a democracia e os direitos humanos são universais e se, em seu nome, é legítimo intervir no estrangeiro. | A questão central de Fukuyama é se o poderio econômico dos Estados Unidos é suficiente para superar a emergência da China como superpotência. | O debate principal provocado por Fukuyama não é sobre o "fim da História" em si, mas se a universalidade da democracia e dos direitos humanos justifica a intervenção internacional. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Críticos da universalização argumentam que a democracia ocidental é apenas uma estratégia das potências ocidentais para impor o seu domínio cultural sobre outros povos. | Fukuyama defende que a democracia ocidental é um valor neutro e não cultural, não podendo ser usada como estratégia de domínio. | A universalidade dos direitos humanos é questionada por aqueles que a veem como uma estratégia das potências ocidentais para impor seu domínio sobre outras culturas. | | |
