| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Princípios de Relações Internacionais | Cap 3 | Contexto | Uma teoria, nas relações internacionais, é um conjunto de proposições e conceitos que buscam explicar fenômenos e gerar hipóteses que podem ser testadas, sendo estas últimas enunciados refutáveis específicos. | Uma teoria é uma explicação definitiva e comprovada de eventos, enquanto uma hipótese é uma crença inquestionável que não pode ser refutada por novas provas. | true | Boas teorias geram hipóteses que podem ser testadas (enunciados refutáveis) e não são consideradas "comprovadas" ou "definitivas" nas ciências sociais. | | |
| Princípios de Relações Internacionais | Cap 3 | Contexto | O nível de análise de Estado, ou fatores internos, inclui características como o tipo de governo (democracia ou autoritarismo), o sistema econômico e grupos de interesse no país. | O nível de análise de Estado foca exclusivamente na personalidade e nas escolhas de líderes individuais (como Saddam Hussein ou George W. Bush) para explicar os eventos internacionais. | true | O nível de Estado foca em características internas do Estado, enquanto o nível individual foca nas escolhas dos tomadores de decisão. | | |
| Princípios de Relações Internacionais | Cap 3 | Contexto | O Realismo se baseia na visão do indivíduo como primordialmente temeroso, egoísta e sedento de poder, o que remonta aos escritos de Santo Agostinho e Tucídides. | O Realismo se baseia na premissa de que a natureza humana é basicamente boa e capaz de colaboração, mas é corrompida por instituições sociais inadequadas. | true | Para o Realismo, o indivíduo é essencialmente temeroso, egoísta e sedento de poder. | | |
| Princípios de Relações Internacionais | Cap 3 | Contexto | Para os realistas, os Estados existem em um sistema internacional anárquico, onde anarquia sublinha a ausência de uma hierarquia com autoridade central. | Os realistas defendem que o sistema internacional é hierárquico, com uma autoridade supranacional (o Leviatã) capaz de pôr fim à contenda entre os Estados. | true | A premissa central do Realismo é que o sistema internacional é anárquico devido à ausência de uma autoridade abrangente. | | |
| Princípios de Relações Internacionais | Cap 3 | Contexto | O Realismo postula que o Estado é o principal ator e deve ser entendido como um ator unitário que fala e age com uma voz única nas decisões cruciais. | O Realismo atribui primazia aos atores subnacionais e às organizações internacionais, que frequentemente se contrapõem às decisões do governo central. | true | O Estado é o ator principal e é tratado como unitário, não havendo atores subnacionais que se contrapõem à decisão do governo, segundo o Realismo. | | |
| Princípios de Relações Internacionais | Cap 3 | Contexto | O neorrealismo (ou realismo estrutural) de Kenneth Waltz dá precedência à estrutura do sistema internacional (como a distribuição de poder) como principal fator explanatório. | O neorrealismo se diferencia do realismo clássico por focar primariamente na natureza falha do indivíduo (nível individual) e nas características internas do Estado (nível de Estado). | true | Os neorrealistas dão precedência à estrutura do sistema internacional, enquanto os realistas tradicionais atribuem mais importância às características de Estados e seres humanos. | | |
| Princípios de Relações Internacionais | Cap 3 | Contexto | Na visão neorrealista, quanto mais a distribuição global de poder se aproxima da unipolaridade, maior é a probabilidade de paz, pois a anarquia seria suspensa. | Os neorrealistas argumentam que a multipolaridade (três ou mais grandes potências) é o estado mais estável e com maior probabilidade de paz no sistema internacional. | true | Neorrealistas defendem que a unipolaridade aumenta a probabilidade de paz, pois suspenderia a condição de anarquia. | | |
| Princípios de Relações Internacionais | Cap 3 | Contexto | A dificuldade de cooperação em condições de anarquia, segundo os neorrealistas, deve-se primariamente à preocupação dos Estados com os ganhos relativos (quem ganha mais). | Os neorrealistas priorizam os ganhos absolutos, argumentando que a cooperação sempre é benéfica, desde que haja aumento total de riqueza para todos os envolvidos. | true | Neorrealistas se preocupam com os ganhos relativos, temendo que o ganho desproporcional de um Estado possa ser usado para prejudicar o outro. | | |
| Princípios de Relações Internacionais | Cap 3 | Contexto | O Liberalismo sustenta que a natureza humana é basicamente boa e que a guerra e a agressão podem ser eliminadas por meio de reforma institucional e ação coletiva. | O Liberalismo defende que a guerra e a agressão são inevitáveis e que o progresso da sociedade é impossível devido à natureza inerentemente falha da humanidade. | true | Os liberais acreditam na bondade básica da natureza humana e na possibilidade de eliminar a guerra por meio de ação coletiva e reforma institucional. | | |
