| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Princípios de Relações Internacionais | Cap 5 | Estado | Para ser considerado um Estado, quatro condições jurídicas fundamentais devem ser cumpridas: base territorial, população estável, estrutura institucional para governança e reconhecimento por outros Estados. | A condição jurídica fundamental para um Estado é apenas possuir uma base territorial e uma população, sendo irrelevante o reconhecimento diplomático por outros Estados. | true | O reconhecimento por outros Estados em termos diplomáticos é um dos quatro critérios jurídicos fundamentais para a condição de Estado. | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | Uma nação é definida como um grupo de pessoas que compartilham um conjunto de características comuns, como história, idioma ou herança, e não necessariamente coincide com o Estado. | O conceito de nação é sinônimo de Estado, implicando que todos os Estados possuem uma população unificada por um único idioma e costumes. | true | Nações são grupos com características comuns, mas Estado e nação nem sempre coincidem, havendo Estados multiétnicos. | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | O Realismo considera o Estado como um ator autônomo, soberano, pautado por um interesse nacional definido em termos de poder, sendo restringido apenas pela anarquia estrutural do sistema internacional. | Para o Realismo, o Estado é uma arena pluralista, sem um interesse nacional único e consistente, refletindo múltiplos interesses concorrentes internos. | true | Os realistas veem o Estado como um ator unitário e autônomo, com um interesse nacional consistente definido em termos de poder. | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | A perspectiva Liberal vê o Estado como uma arena pluralista, cuja função é garantir as regras básicas para que vários interesses (governamentais e da sociedade) disputem o jogo político. | O Liberalismo, assim como o Realismo, defende que o Estado é um ator autônomo e unitário, que age com uma voz única e consistente no interesse nacional. | true | O Estado é visto pelos liberais como um processo ou arena pluralista, com múltiplos e cambiantes interesses nacionais. | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | A perspectiva marxista instrumental vê o Estado como o agente executor da burguesia, reagindo diretamente às pressões da classe capitalista. | A perspectiva marxista instrumental postula que o Estado é totalmente autônomo e soberano, agindo independentemente das pressões da classe capitalista interna ou externa. | true | O Radicalismo (marxista instrumental) vê o Estado como um agente que executa a vontade da burguesia, respondendo às pressões capitalistas. | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | Para os construtivistas, os interesses nacionais são constructos sociais em constante evolução, moldados por normas e ideias internacionais, e os Estados têm múltiplas identidades. | Os construtivistas veem os interesses nacionais como fixos, materiais e evidentes por si sós, sendo imutáveis em resposta a normas ou ideias. | true | Os construtivistas veem os interesses e a identidade do Estado como constructos sociais em constante transformação, moldados por ideias e normas. | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | As três fontes naturais de poder mais importantes, cruciais para realistas e radicais, são o tamanho e a posição geográfica, os recursos naturais e a população. | As fontes naturais de poder mais importantes incluem principalmente o nível de infraestrutura e o desenvolvimento industrial, pois superam as desvantagens geográficas. | true | As fontes naturais de poder primárias são geográficas, de recursos naturais e populacionais, que, para realistas e radicais, são cruciais. | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | Alfred Mahan enfatizava que o Estado que controla as rotas marítimas controla o mundo, enquanto Halford Mackinder defendia que o controle do "coração" geográfico da Eurásia era o fator decisivo. | Tanto Mahan quanto Mackinder concordavam que o controle da terra era irrelevante, e o poder supremo residia unicamente no domínio do poder aéreo e das rotas oceânicas. | true | Mahan priorizou o controle marítimo, e Mackinder, o controle da Eurásia ("coração" geográfico). | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | O controle de recursos naturais valiosos, como o petróleo, pode conferir um potencial de poder a Estados pequenos (como Kuwait), que, de outra forma, não possuiriam essa influência. | A posse de recursos naturais valiosos, como o petróleo, não confere potencial de poder a Estados pequenos, que permanecem vulneráveis e irrelevantes no sistema internacional. | true | O controle de recursos vitais (como o gás russo ou os minerais chineses) aumenta o potencial de poder, mesmo que o Estado seja geograficamente pequeno. | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | **Poder brando (soft power)**, segundo Joseph S. Nye, é a capacidade de um Estado atrair os demais por meio da legitimidade de seus valores ou políticas, e não pelo uso de coerção. | O poder brando (soft power) é a capacidade de um Estado de impor sua vontade por meio da ameaça de força econômica, mesmo que seus valores sejam impopulares. | true | O poder brando é a atração e persuasão, baseada em valores e políticas legítimas, distinta do poder coercitivo (duro). | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | O **poder inteligente (smart power)** é definido por Nye como a combinação adequada de poder duro (coerção militar e econômica) e poder brando (persuasão e atração), dependendo do contexto. | O poder inteligente consiste em confiar exclusivamente no poder brando (cultura e valores) e rejeitar totalmente o uso de poder duro (força militar ou sanções econômicas). | true | Poder inteligente é a combinação do poder duro e do poder brando, adaptada à situação. | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | A diplomacia tradicional geralmente envolve **reciprocidade**, onde cada lado reage à altura aos movimentos do outro, exigindo credibilidade das partes para ser bem-sucedida. | A diplomacia é um processo unilateral onde um Estado impõe sua vontade sem a necessidade de reações ou respostas correspondentes (reciprocidade) do adversário. | true | A reciprocidade é um aspecto central da diplomacia, na qual as partes reagem aos movimentos umas das outras. | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | O "jogo de dois níveis" (Robert Putnam) descreve a negociação simultânea na esfera internacional (entre Estados) e na esfera interna (entre o negociador do Estado e seus públicos internos para ratificação). | O "jogo de dois níveis" refere-se exclusivamente à negociação entre dois Estados com o mesmo poder, sem a influência de grupos de interesse ou públicos internos. | true | O jogo de dois níveis envolve negociar externamente e, simultaneamente, internamente para alcançar e ratificar acordos. | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | As sanções positivas implicam a oferta de uma recompensa ou incentivo ("isca") para instigar o Estado visado a agir da maneira desejada, como conceder o status de nação mais favorecida (NMF). | As sanções positivas são mais comuns que as sanções negativas e envolvem punir o Estado-alvo com o congelamento de ativos por atitudes indesejadas. | true | Sanções positivas são incentivos (recompensas), enquanto sanções negativas (punições) são mais comuns na prática. | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | Embora a África do Sul seja um exemplo de sucesso no uso de sanções para acabar com o apartheid, de modo geral, as sanções econômicas frequentemente não logram êxito, como ilustra o longo embargo dos EUA contra Cuba. | O embargo econômico dos Estados Unidos contra Cuba é amplamente citado como um sucesso notável, pois levou à rápida mudança de regime no país. | true | De modo geral, as sanções falham, e o embargo a Cuba é um exemplo de política persistente, mas ineficaz em atingir seu objetivo. | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | A **coerção** tenta obrigar um Estado a fazer ou desfazer algo por meio de ameaças escalonadas, enquanto a **dissuasão** compromete-se a punir um Estado caso este tome uma iniciativa inconveniente. | A coerção e a dissuasão são sinônimos e ambas terminam assim que se inicia o uso da força militar real. | true | Coerção busca forçar uma mudança de ação, enquanto dissuasão busca impedir uma ação futura. A coerção termina quando a força é usada. | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | A hipótese da **paz democrática** sugere que as democracias não entram em guerra umas contra as outras, embora não sejam, em geral, mais pacíficas do que as não democracias. | Estudos recentes demonstram que as democracias lutam entre si com frequência, mas são menos propensas a entrar em guerra contra autocracias. | true | A constatação básica da paz democrática é que democracias não guerreiam entre si, o que é estatisticamente significativo. | | |
| Princípios de Relações Internacionais | Cap 5 | Estado | O **modelo racional** de tomada de decisões, usado principalmente em crises, pressupõe que o Estado é um ator unitário que escolhe a ação que maximizará suas metas estratégicas. | O modelo racional é mais apropriado para situações não críticas e ignora as metas estabelecidas, focando-se na influência de grupos de interesse. | true | O modelo racional presume um ator unitário buscando maximizar metas; é mais útil em crises ou na falta de informação sobre o adversário. | | |
