| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | O Realismo caracteriza o sistema internacional como **anárquico**, o que significa que não existe uma autoridade hierárquica acima do Estado soberano. | O Realismo caracteriza o sistema internacional como caótico, o que significa que há uma autoridade supranacional, mas ela é fraca e ineficaz. | true | A anarquia, no Realismo, significa a ausência de autoridade acima do Estado, que é soberano. | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | Os neorrealistas (realistas estruturais) acreditam que os Estados são primariamente **restringidos pela estrutura** do sistema internacional, como a distribuição de poder. | Os neorrealistas acreditam que os Estados moldam o sistema internacional, agindo com autonomia total, independentemente da distribuição de poder. | true | O neorrealismo (ou realismo estrutural) postula que os Estados são restringidos pela estrutura do sistema internacional, especialmente pela polaridade. | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | A polaridade do sistema, crucial para os realistas, refere-se à **distribuição de recursos** (poder) entre os Estados ou grupos de Estados no sistema internacional. | A polaridade do sistema refere-se primariamente à divisão ideológica entre as potências, como o comunismo e o liberalismo, e não à distribuição de recursos materiais. | true | Polaridade de sistema refere-se à distribuição de recursos (capacidade econômica e militar) entre os Estados no sistema. | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | Em um sistema multipolar (equilíbrio de poder clássico), as alianças tendem a ter uma **finalidade específica e curta duração**, mudando de acordo com as vantagens e não com ideologias. | Em sistemas multipolares, as alianças são permanentes e baseadas em ideologias rígidas, visando eliminar completamente qualquer polo rival. | true | Em sistemas multipolares, as alianças são específicas, de curta duração e mudam conforme as vantagens, não ideologias. | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | Kenneth Waltz defende que o sistema bipolar é a estrutura **mais estável no longo prazo**, pois a visibilidade das rupturas e o foco mútuo levam à moderação da violência. | Kenneth Waltz argumenta que o sistema multipolar é inequivocamente o mais estável, pois a complexidade das interações torna os erros de cálculo menos prováveis. | true | Waltz argumenta que o sistema bipolar é a estrutura mais estável no longo prazo devido à visibilidade e à capacidade dos polos de absorverem mudanças desestabilizadoras. | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | Para os liberais, o sistema internacional é caracterizado por **múltiplos atores**, incluindo organizações internacionais, ONGs e corporações multinacionais, além dos Estados. | Para os liberais, assim como para os realistas, o Estado é o único ator relevante no sistema internacional, e os demais são meramente ferramentas estatais. | true | Os liberais veem o sistema como interdependente, com múltiplos atores interagindo (Estados, IGOs, ONGs, corporações multinacionais, etc.). | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | No sistema interdependente liberal, os atores são **sensíveis** (afetados por) e **vulneráveis** (sofrem o impacto nocivo de) às ações alheias, conectados por vários canais. | No sistema interdependente liberal, o poderio militar é sempre o recurso mais útil para resolver todas as questões de segurança e econômicas. | true | A interdependência implica que os atores são sensíveis e vulneráveis às ações alheias, e o poder militar não é útil em todas as questões. | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | Os institucionalistas neoliberais argumentam que a cooperação no sistema anárquico é possível porque as instituições internacionais **reduzem os custos de transação** e melhoram o fluxo de informações. | Os institucionalistas neoliberais sustentam que as instituições internacionais não têm impacto independente, servindo apenas para reforçar as assimetrias de poder já existentes. | true | As instituições facilitam a colaboração, pois reduzem os custos de transação e fornecem informações, moderando o comportamento. | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | O Radicalismo descreve a estrutura do sistema internacional em termos de **estratificação**, que é a distribuição desigual de recursos entre diferentes grupos de Estados. | O Radicalismo descreve a estrutura do sistema internacional primariamente pela polaridade militar, ignorando a distribuição desigual de recursos econômicos. | true | A estratificação (distribuição desigual de recursos) é o conceito-chave para entender o sistema internacional sob a ótica radical. | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | Para os radicais de base marxista, o capitalismo é o principal responsável pela estratificação, gerando instrumentos de dominação, como as corporações multinacionais, que fortalecem o Norte. | Os radicais afirmam que a estratificação é causada unicamente por diferenças culturais e religiosas entre o Norte e o Sul, sem qualquer ligação com o sistema capitalista. | true | O capitalismo introduz e perpetua a estratificação, estruturando a relação entre os privilegiados (Norte) e os desprivilegiados (Sul). | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | A instabilidade no sistema estratificado radical surge quando as **potências situadas na segunda divisão** desafiam as potências dominantes, buscando reverter seu status. | A instabilidade no sistema radical é sempre causada pelas potências da primeira divisão, que atacam Estados pequenos e periféricos para manter a hegemonia. | true | As potências desafiadoras (segunda divisão) podem causar instabilidade ao buscar ascender e obter recursos, como a Alemanha na década de 1930. | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | O construtivista Alexander Wendt afirma que "**anarquia é o que os Estados fazem dela**", indicando que o significado da anarquia é socialmente construído e não um imperativo material fixo. | Alexander Wendt argumenta que a anarquia é uma condição material imutável, o que confirma o postulado central dos realistas estruturais. | true | A anarquia não tem uma existência objetiva; seu significado é socialmente construído através da interação e das ideias dos Estados, segundo Wendt. | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | O Construtivismo expande o conceito de poder para além dos termos materiais (militar/econômico), incluindo o **poder das ideias, da cultura e da legitimidade** (poder discursivo). | O Construtivismo rejeita totalmente a ideia de poder, concentrando-se apenas nas estruturas normativas e desconsiderando a importância de recursos militares e econômicos. | true | Para os construtivistas, o poder inclui o poder das ideias, da cultura e da legitimidade, e não apenas recursos materiais. | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | Uma deficiência da teoria de sistemas é o problema das fronteiras, pois é difícil distinguir claramente o que está dentro e o que está fora do sistema internacional. | A principal vantagem da teoria de sistemas é que ela define claramente as fronteiras do sistema, separando inequivocamente o político do social e do biológico. | true | Os teóricos do sistema internacional sempre foram estorvados pelo problema das fronteiras, dificultando a distinção entre o que está dentro e fora. | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | Para os realistas, a mudança fundamental no sistema internacional é frequentemente causada por **guerras**, que resultam em uma redistribuição de poder entre os atores principais. | Os realistas defendem que a mudança no sistema ocorre quase exclusivamente devido à evolução paulatina das normas sociais e à internalização de novas ideias pelos Estados. | true | As guerras são frequentemente as responsáveis por mudanças nas relações de poder, levando a transformações no sistema internacional (ex: Fim da Segunda Guerra Mundial). | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | O Liberalismo enxerga a mudança no sistema internacional como um processo **paulatino e constante**, resultante de desenvolvimentos tecnológicos, novos atores e o aumento da importância de questões transnacionais. | O Liberalismo, assim como o Radicalismo, defende a realização de profundas e imediatas modificações estruturais para alterar o sistema internacional. | true | A mudança para os liberais é paulatina e constante, vindo de desenvolvimentos tecnológicos, novos atores e o aumento da importância de outras áreas além da segurança. | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | O conceito de **segurança coletiva**, defendido pelos liberais, baseia-se na ideia de que a paz é indivisível: um ataque contra um Estado é um ataque contra todos. | A segurança coletiva é um conceito realista que postula que cada Estado deve zelar apenas pela sua própria segurança, sem depender de alianças mútuas. | true | A segurança coletiva é uma abordagem liberal baseada na ideia de que a guerra contra um é contra todos, obrigando a comunidade internacional a responder. | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | A Teoria da Estabilidade Hegemônica postula que a **unipolaridade** leva ao sistema internacional mais estável, desde que o ator hegemônico esteja disposto a impor as normas. | A Teoria da Estabilidade Hegemônica argumenta que a multipolaridade com equilíbrio de poder é o sistema mais estável e que a unipolaridade é inerentemente volátil. | true | Segundo a Teoria da Estabilidade Hegemônica, a unipolaridade é o sistema mais estável quando o hegemon se dispõe a arcar com o ônus da imposição das normas. | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | A noção de **sociedade internacional** (escola inglesa) se diferencia de sistema internacional por postular que os atores compartilham uma cultura e tradições comuns que lançam as bases de regras e instituições compartilhadas. | A sociedade internacional é um conceito realista que enfatiza a ausência de cultura comum e o foco exclusivo no equilíbrio de poder militar entre os Estados. | true | A sociedade internacional se baseia na existência de uma cultura comum e tradições compartilhadas, diferentemente do sistema internacional, que é apenas a interação de comunidades políticas. | | |
| Princípios de Relações Internacionais | Cap 4 | Sistema Internacional | Apesar de os Estados Unidos manterem a unipolaridade em termos absolutos (gastos militares), sua capacidade de exercer a hegemonia vem sendo **desafiada pelo crescimento econômico** de outros Estados como China, Japão, Brasil e Índia. | O domínio dos Estados Unidos no século XXI é absoluto e incontestável em todas as dimensões, sem qualquer declínio relativo em sua capacidade de exercer hegemonia. | true | Embora os Estados Unidos mantenham recursos esmagadores, seu domínio em termos relativos está em declínio devido ao crescimento econômico de outros países, o que desafia sua hegemonia. | | |
