| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Ciência Política | Pág 89 | Cap. 4 – Finalidades e Elementos do Estado | Os elementos essenciais consagrados do Estado moderno são o povo, o território e o poder. | Os elementos essenciais do Estado moderno se limitam ao governo e ao ordenamento jurídico, sendo o povo e o território elementos secundários. | Os três elementos essenciais consagrados na literatura da Ciência Política são povo, território e poder. | | |
| Ciência Política | Pág 89 | Cap. 4 – Finalidades e Elementos do Estado | O Estado não dispõe de consciência e vontade própria, pois ele somente existe na consciência e na vontade de seus integrantes. | O Estado possui uma consciência e vontade autônomas, independentes dos indivíduos, que lhe permitem estabelecer fins objetivos. | O Estado só existe na consciência e na vontade de seus integrantes e nas suas interações recíprocas. | | |
| Ciência Política | Pág 90 | Cap. 4 – Finalidades e Elementos do Estado | O fim próprio, objetivo e necessário do Estado é a construção, consolidação e conservação da comunidade política. | Os fins próprios do Estado são sempre subjetivos, contingentes e relativos, variando conforme a ideologia dos governantes em exercício. | Os fins próprios, objetivos e necessários do Estado coincidem com os fins políticos de caráter mediato, como a conservação da comunidade política. | | |
| Ciência Política | Pág 90 | Cap. 4 – Finalidades e Elementos do Estado | O “bem comum” constitui o fim objetivo do Estado, entendido como o conjunto de condições para que todos os membros da comunidade alcancem seus bens particulares. | O conceito de “bem comum” refere-se ao bem de todos como uma unidade real, sendo um fim que está em contradição com os bens particulares dos indivíduos. | O “bem comum” não é o bem de todos como unidade real, mas o conjunto de condições para que grupos e indivíduos alcancem seu “bem particular”. | | |
| Ciência Política | Pág 90 | Cap. 4 – Finalidades e Elementos do Estado | Kelsen afirma que o Estado torna possível a "verdadeira liberdade", pois ele é a lei jurídica, expressão da legalidade normativa do valor ou do espírito. | Kelsen defendia que a verdadeira liberdade só é alcançada fora da legalidade do Estado, pois este é visto como mera legalidade causal. | Kelsen associa o Estado à lei jurídica, sendo a liberdade a expressão da legalidade normativa realizada pelo Estado. | | |
| Ciência Política | Pág 91 | Cap. 4 – Finalidades e Elementos do Estado | Para a obtenção do bem comum, o Estado deve atuar sobre o fundamento do direito e na forma do direito, exigindo a participação dos cidadãos na elaboração das leis. | Para atingir seus objetivos de segurança e ordem, o Estado pode atuar de forma arbitrária e prescindir do fundamento do direito e da participação cidadã. | O Estado deve atuar sobre o fundamento do direito e na forma do direito, e é necessário que os cidadãos participem na elaboração das leis. | | |
| Ciência Política | Pág 92 | Cap. 4 – Finalidades e Elementos do Estado | O território e a população constituem a base material do Estado, sendo imprescindível a existência de uma comunidade humana estabelecida de forma perene em um local. | O Estado é essencialmente intangível e imaterial, e, portanto, o território e a população são elementos secundários de sua existência. | O território e a população são a base material que condiciona a existência do Estado, pois é necessária uma comunidade humana e um território perene. | | |
| Ciência Política | Pág 92 | Cap. 4 – Finalidades e Elementos do Estado | Todo Estado exige um território como condição imprescindível de sua organização, das funções que deve exercer e de sua competência para regularizar sua ação político-jurídica. | O Estado moderno é caracterizado pela ausência de territorialidade, sendo sua organização baseada unicamente em vínculos de subordinação pessoal. | Não existe Estado moderno sem território, pois este é uma condição imprescindível de sua organização e de sua competência. | | |
| Ciência Política | Pág 92 | Cap. 4 – Finalidades e Elementos do Estado | O território de um Estado abrange casos de extraterritorialidade, como navios e aviões de guerra que se consideram porção do território do Estado cuja bandeira ostentam. | O território é definido estritamente pelos limites geográficos das fronteiras, e a extraterritorialidade não é considerada parte constitutiva do território estatal. | O conceito de território inclui os casos de extraterritorialidade, como navios e aviões de guerra que ostentam a bandeira do Estado. | | |
| Ciência Política | Pág 93 | Cap. 4 – Finalidades e Elementos do Estado | Para Kelsen, o território é o âmbito espacial de validade da ordem jurídica do Estado, e não o âmbito de sua eficácia, sendo um conceito puramente jurídico. | Kelsen afirma que toda doutrina em torno do território tem caráter puramente geográfico ou naturalista, desvinculado do elemento normativo. | Kelsen define o território como o âmbito espacial de validade da ordem jurídica do Estado, sendo um conceito puramente jurídico. | | |
| Ciência Política | Pág 93 | Cap. 4 – Finalidades e Elementos do Estado | Uma propriedade do território é sua impenetrabilidade subjetiva, no sentido de que em um mesmo território só um Estado exerce o poder com exclusividade (soberania territorial). | A soberania territorial permite que múltiplos Estados exerçam o poder simultaneamente e com exclusividade sobre o mesmo espaço terrestre. | O território é um elemento essencial que implica sua impenetrabilidade subjetiva, na qual só um Estado exerce o poder com exclusividade. | | |
| Ciência Política | Pág 93 | Cap. 4 – Finalidades e Elementos do Estado | O que caracteriza o Estado como forma de sociedade política historicamente existente é precisamente seu caráter territorial. | A territorialidade não é uma condição essencial; o Estado pode existir como sociedade política estabelecida apenas sobre um vínculo de subordinação pessoal. | O que caracteriza o Estado como forma de sociedade política é o seu caráter territorial. | | |
| Ciência Política | Pág 97 | Cap. 4 – Finalidades e Elementos do Estado | O conceito de população faz referência a um aspecto quantitativo (número de indivíduos), sendo um termo fundamentalmente demográfico. | O conceito de população faz referência ao conjunto de pessoas que formam um aglomerado único, diferenciado por um vínculo jurídico. | População é um termo demográfico, referente ao número de indivíduos que habitam o território, sem levar em conta sua condição. | | |
| Ciência Política | Pág 97 | Cap. 4 – Finalidades e Elementos do Estado | O conceito de povo é uma categoria jurídica que inclui apenas aqueles indivíduos cuja conduta está regulada por uma ordem jurídica nacional, ligados pelo vínculo da cidadania. | O conceito de povo é uma categoria sociológica que abrange todos os indivíduos que habitam o território do Estado, incluindo estrangeiros e apátridas. | O povo compreende as pessoas submetidas ao poder do Estado ligadas a ele pelo vínculo da cidadania, sendo uma categoria jurídica. | | |
| Ciência Política | Pág 97 | Cap. 4 – Finalidades e Elementos do Estado | Jellinek afirma que os indivíduos, enquanto objetos do poder do Estado, são sujeitos de deveres, mas enquanto membros do Estado, são sujeitos de direito. | Segundo Jellinek, os indivíduos são apenas sujeitos de deveres em sua qualidade de membros da corporação estatal, sem possuir direitos em relação ao *imperium*. | Os indivíduos são sujeitos de deveres enquanto objetos do poder, e sujeitos de direito enquanto membros da corporação estatal. | | |
| Ciência Política | Pág 98 | Cap. 4 – Finalidades e Elementos do Estado | A nação satisfaz a necessidade de pertencer a uma comunidade ampla para afirmar a identidade, enquanto o Estado atende às necessidades de segurança e ordem. | O Estado é a entidade que satisfaz a necessidade de pertencer a uma comunidade cultural e afirmar a identidade, enquanto a nação trata da segurança e ordem. | A nação se relaciona à identidade e pertencimento, e o Estado se relaciona à segurança e ordem. | | |
| Ciência Política | Pág 98 | Cap. 4 – Finalidades e Elementos do Estado | É um equívoco a identificação da noção de povo, como elemento constitutivo do Estado, com determinada etnia, pois tal abordagem favorece doutrinas racistas. | A identificação do povo do Estado com uma única etnia é fundamental para a coesão social e a manutenção da paz interna. | A identificação do povo com determinada etnia é um equívoco que favorece o surgimento de doutrinas racistas e a dominação de uma etnia sobre a outra. | | |
| Ciência Política | Pág 99 | Cap. 4 – Finalidades e Elementos do Estado | O Estado-nação moderno buscou estabelecer uma ordem homogênea, dissipando as diferenças entre as comunidades através de uma mesma língua, sistema educacional e símbolos identitários. | O Estado-nação moderno nasceu com a finalidade de proteger e celebrar a diversidade cultural e a heterogeneidade das comunidades coexistentes. | O Estado-nação procurou dissipar as diferenças culturais para estabelecer uma ordem homogênea, através da imposição dos interesses de um grupo. | | |
| Ciência Política | Pág 99 | Cap. 4 – Finalidades e Elementos do Estado | O nacionalismo se caracteriza por realizar um duplo movimento: integração da diversidade interior e exclusão dela no exterior. | O nacionalismo moderno visa a eliminar todas as fronteiras, promovendo a total integração com o que é estranho em detrimento da diversidade interior. | O nacionalismo implica a integração interna e a exclusão externa, estabelecendo uma fronteira clara com o que se encontra fora da nação. | | |
| Ciência Política | Pág 99 | Cap. 4 – Finalidades e Elementos do Estado | Do ponto de vista sociológico, Nação é um povo que se fixa em uma área geográfica, adquire organização político-administrativa e se mantém unido por uma história e cultura comuns. | Nação, do ponto de vista sociológico, é sinônimo de população, referindo-se apenas ao conjunto de indivíduos que habitam um espaço geográfico. | A Nação é definida sociologicamente como um povo fixado em área geográfica, unido por história e cultura, e com organização político-administrativa. | | |
| Ciência Política | Pág 100 | Cap. 4 – Finalidades e Elementos do Estado | A nação se constitui historicamente em função da necessidade de integração e coesão interna e da necessidade de diferenciação e singularidade em relação a outros povos. | A formação da nação depende unicamente de um fator exclusivo, como a língua ou a religião, sem depender de processos de integração e diferenciação simultâneos. | A constituição da nação é complexa, resultando da unificação/integração interna e da afirmação de singularidade/diferenciação externa. | | |
| Ciência Política | Pág 101 | Cap. 4 – Finalidades e Elementos do Estado | Na nação de origem política (como no Brasil), o Estado é o agente ativo e criador, e a nação é edificada posteriormente dentro dos seus marcos políticos. | Na nação de origem política, o Estado é a consequência do desenvolvimento de laços culturais autônomos preexistentes à estrutura política. | Neste tipo de nação, o Estado é o criador da nação, que é construída dentro dos marcos políticos estatais. | | |
| Ciência Política | Pág 102 | Cap. 4 – Finalidades e Elementos do Estado | Na nação de origem étnico-cultural, os direitos não são derivados dos cidadãos, mas sim desse grupo social perene (etnia/cultura). | Na nação de base cultural, os direitos são derivados estritamente dos indivíduos, e não do organismo social perene. | Na nação étnico-cultural, o protagonista é o fator étnico, e os direitos derivam desse organismo, e não dos cidadãos. | | |
| Ciência Política | Pág 103 | Cap. 4 – Finalidades e Elementos do Estado | O direito de autodeterminação está ligado ao nascimento da ideia de governo representativo, defendendo que os cidadãos devem escolher seu governo com base no consentimento. | O direito de autodeterminação, na sua origem, visava à fragmentação e pulverização imediata dos Estados por critérios puramente linguísticos. | O direito de autodeterminação está historicamente ligado ao governo representativo e à escolha do governo com base no consentimento. | | |
| Ciência Política | Pág 105 | Cap. 4 – Finalidades e Elementos do Estado | A nacionalidade é o vínculo jurídico-político que une cada indivíduo a um Estado determinado, estabelecendo a condição de nacional. | A nacionalidade é um vínculo de natureza estritamente privada e social, desvinculado de qualquer relação jurídico-política com o Estado. | A nacionalidade é o vínculo de natureza jurídico-política que une o indivíduo ao Estado, estabelecendo a condição de nacional. | | |
| Ciência Política | Pág 105 | Cap. 4 – Finalidades e Elementos do Estado | Cidadania é a condição de membro ativo do Estado, caracterizada pela titularidade dos direitos políticos (como o sufrágio), sendo um conceito mais específico do que nacionalidade. | Nacionalidade e cidadania são sinônimos, referindo-se ambos à titularidade dos direitos políticos e à condição de membro ativo do Estado. | Cidadania é a condição de membro ativo com direitos políticos; a nacionalidade é a condição de membro do Estado, podendo o nacional não ser cidadão. | | |
| Ciência Política | Pág 105 | Cap. 4 – Finalidades e Elementos do Estado | O sistema de aquisição de nacionalidade *jus sanguinis* confere a nacionalidade pela descendência familiar, e não pelo fato de o nascimento ter ocorrido no território nacional. | O sistema *jus sanguinis* determina que a nacionalidade é adquirida unicamente pelo local de nascimento (solo), independentemente da nacionalidade dos pais. | O *jus sanguinis* confere a nacionalidade pela família (sangue), enquanto o *jus solis* confere pelo território de nascimento. | | |
| Ciência Política | Pág 107 | Cap. 4 – Finalidades e Elementos do Estado | Segundo T. H. Marshall, o elemento civil da cidadania é composto pelos direitos necessários à liberdade individual, como a liberdade de ir e vir, propriedade e direito à justiça. | O elemento civil da cidadania, para Marshall, refere-se unicamente ao direito de votar e ser votado. | O elemento civil da cidadania compreende os direitos necessários à liberdade individual, como liberdade de imprensa, propriedade e direito à justiça. | | |
| Ciência Política | Pág 111 | Cap. 4 – Finalidades e Elementos do Estado | Os Partidos Políticos são considerados integrantes do Estado (Sociedade Política) com a função de articular as demandas provenientes da Sociedade Civil. | Os Partidos Políticos são classificados como organizações que pertencem exclusivamente à Sociedade Civil, por não exercerem o poder coercitivo estatal. | Os Partidos Políticos são considerados integrantes do Estado (Sociedade Política), com a função de articular e canalizar as demandas da Sociedade Civil. | | |
| Ciência Política | Pág 117 | Cap. 4 – Finalidades e Elementos do Estado | O fator mais importante na consolidação democrática não é a sociedade civil, mas sim a institucionalização política, que diminui a incerteza e normaliza as políticas democráticas. | A consolidação democrática depende primariamente da atividade da sociedade civil, pois a institucionalização política tende a aumentar a incerteza e a instabilidade. | O fator mais importante na consolidação democrática é a institucionalização política, embora a sociedade civil desempenhe um papel importante. | | |
