| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Ciência Política | Pág 225 | Cap. 10 – O Estado Constitucional | O conceito moderno de Constituição, como *Lex fundamentalis*, iniciou sua gestação na Idade Média, consolidando-se somente no século XVIII. | O conceito moderno de Constituição consolidou-se na Grécia Antiga com a *politeia*, sendo a ideia de *Lex fundamentalis* irrelevante na Idade Média. | O conceito de *Lex fundamentalis* (lei fundamental) começou a se gestar na Idade Média, consolidando-se no século XVIII. | | |
| Ciência Política | Pág 225 | Cap. 10 – O Estado Constitucional | A Constituição é o instrumento fundamental para o controle do poder político e define a forma como este se distribui e é exercido na comunidade. | A Constituição é apenas um conjunto de normas jurídicas que define o âmbito de liberdade pessoal, sem qualquer função de controle sobre o exercício ou distribuição do poder político. | A Constituição é o instrumento fundamental para o controle do poder político, além de definir sua distribuição e exercício. | | |
| Ciência Política | Pág 225 | Cap. 10 – O Estado Constitucional | Os problemas constitucionais não são essencialmente problemas de direito, mas sim problemas de poder e de decisões políticas fundamentais que caracterizam sua essência. | Os problemas constitucionais são, em essência, problemas estritamente de direito, desvinculados de fatores reais de poder ou decisões políticas fundamentras. | Os problemas constitucionais são essencialmente problemas de poder, e não apenas de direito. | | |
| Ciência Política | Pág 226 | Cap. 10 – O Estado Constitucional | Em sentido material, a Constituição é o complexo de normas jurídicas fundamentais, escritas ou não, que constituem o referencial de um ordenamento jurídico. | Em sentido material, a Constituição se limita ao conjunto de normas legislativas que ocupam uma posição suprema, sendo obrigatoriamente um texto escrito. | Em sentido material, a Constituição é o complexo de normas fundamentais, escritas ou não, que servem de referencial. | | |
| Ciência Política | Pág 226 | Cap. 10 – O Estado Constitucional | A Constituição goza de supremacia, ou seja, de nível superior às demais normas do ordenamento jurídico, que não podem contradizê-la. | A Constituição possui o mesmo nível hierárquico das leis ordinárias, podendo ser contradita por qualquer outra norma do ordenamento jurídico. | A Constituição é a norma suprema e de nível superior às demais normas do ordenamento jurídico. | | |
| Ciência Política | Pág 226 | Cap. 10 – O Estado Constitucional | A supremacia e rigidez constitucionais são garantidas pelo controle jurídico da constitucionalidade das leis, que verifica a adequação do direito positivo à Constituição. | A rigidez constitucional é garantida unicamente pela intervenção do Poder Executivo, sendo o controle jurídico da constitucionalidade irrelevante para essa finalidade. | A supremacia e rigidez são garantidas pelo controle jurídico da constitucionalidade das leis. | | |
| Ciência Política | Pág 227 | Cap. 10 – O Estado Constitucional | Para um Estado ser considerado constitucional não é necessário que possua uma Constituição formal e escrita, mas sim a existência de instituições que distribuam e controlem o poder político. | Para um Estado ser considerado constitucional, é indispensável que possua uma Constituição formal e escrita, sendo a Inglaterra um exemplo de Estado não constitucional. | Um Estado pode ser constitucional mesmo sem Constituição formal (ex: Inglaterra), desde que possua instituições que distribuam e controlem o poder. | | |
| Ciência Política | Pág 227 | Cap. 10 – O Estado Constitucional | O objetivo primário de uma Constituição é a criação de instituições para limitar e controlar o poder político e garantir a participação legítima dos destinatários do poder. | O objetivo primário de uma Constituição é centralizar o poder para acelerar a tomada de decisões, liberando os detentores do poder de qualquer controle social. | A Constituição visa criar instituições para limitar e controlar o poder político e garantir a participação legítima dos destinatários do poder. | | |
| Ciência Política | Pág 227 | Cap. 10 – O Estado Constitucional | O "Estado constitucional" também pode designar uma etapa evolutiva, na qual o poder do monarca se contrapõe à soberania popular (assembleias), culminando no "Estado democrático". | O "Estado constitucional" representa o estágio final e definitivo da evolução política, sendo o "Estado democrático" um conceito totalmente distinto e não relacionado. | O Estado constitucional é uma etapa evolutiva em que o poder do monarca se contrapõe à soberania popular, culminando no Estado democrático. | | |
