| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Ciência Política | Pág 157 | Cap. 7 – As formas de Estado e o Exercício do Poder Político | A forma de Estado é a expressão estrutural dos três elementos constitutivos: o território, o povo e o poder, e se relaciona ao grau de centralização ou descentralização. | A forma de Estado é a expressão exclusiva da forma de governo, sendo a relação entre poder e território uma questão secundária. | A forma de Estado é a expressão estrutural de seus três elementos constitutivos (território, povo e poder), configurando-se pelo grau de centralização ou descentralização do poder. | | |
| Ciência Política | Pág 157 | Cap. 7 – As formas de Estado e o Exercício do Poder Político | A forma de Estado determina o conceito de soberania em função do território, enquanto a forma de governo se limita à estrutura do poder. | A forma de governo leva em consideração os três elementos (território, povo e poder), enquanto a forma de Estado se limita à distribuição e relação dos órgãos políticos. | A forma de Estado considera os três elementos (território, povo e poder), definindo a soberania territorial, e a forma de governo foca na estrutura do poder. | | |
| Ciência Política | Pág 158 | Cap. 7 – As formas de Estado e o Exercício do Poder Político | Quanto ao nível de centralização e distribuição de competências no âmbito político-administrativo, identificam-se duas formas principais de Estado: o simples (unitário) e o composto (federal ou confederado). | O Estado monárquico e o republicano são identificados como as duas formas principais de Estado em relação ao nível de centralização e distribuição de competências. | As duas formas principais de Estado, quanto ao nível de centralização, são o simples ou unitário e o composto, que pode ser federal ou confederado. | | |
| Ciência Política | Pág 158 | Cap. 7 – As formas de Estado e o Exercício do Poder Político | O Estado simples ou unitário apresenta uma estrutura política centralizada e é incompatível com a divisão em Províncias ou Municípios investidos de autonomia política. | O Estado simples ou unitário se caracteriza pela ampla descentralização de poder e pela concessão de autonomia política total às Províncias e Municípios. | O Estado simples ou unitário é um tipo de organização incompatível com a divisão em Províncias, Estados ou Municípios investidos de autonomia política, devido à centralização do poder. | | |
| Ciência Política | Pág 158 | Cap. 7 – As formas de Estado e o Exercício do Poder Político | As confederações consistem numa união permanente de Estados independentes que resulta de um pacto ou acordo internacional. | As confederações resultam de um ato de direito público interno e exigem que os Estados membros renunciem à sua soberania. | As confederações resultam de um pacto ou acordo internacional entre Estados independentes. | | |
| Ciência Política | Pág 158 | Cap. 7 – As formas de Estado e o Exercício do Poder Político | Nas confederações, o poder de decisão é exercido diretamente sobre os órgãos dos Estados confederados, e não sobre os indivíduos dos Estados membros. | Nas confederações, o poder de decisão é exercido diretamente sobre os indivíduos dos Estados membros, tal como ocorre no Estado federal. | O poder de decisão da confederação é exercido diretamente sobre os órgãos dos Estados confederados, e não sobre os indivíduos dos Estados membros. | | |
| Ciência Política | Pág 158 | Cap. 7 – As formas de Estado e o Exercício do Poder Político | Os Estados que integram a confederação possuem o direito de secessão e o poder de considerar nula a decisão da confederação, caso não estejam de acordo. | Os Estados membros da confederação perdem o direito de secessão e são obrigados a aceitar todas as decisões do órgão permanente, mesmo que não estejam de acordo. | Os Estados membros da confederação conservam o direito de secessão e de considerar nula a decisão da confederação. | | |
| Ciência Política | Pág 158 | Cap. 7 – As formas de Estado e o Exercício do Poder Político | O sistema federal como instituição política prática nasce com a Constituição Federal norte-americana de 1787. | O sistema federal, como instituição política, surgiu durante a Confederação do Equador no Brasil (1824). | O federalismo, segundo Loewenstein, é a contribuição americana à teoria e prática do Estado moderno, nascendo com a Constituição norte-americana de 1787. | | |
| Ciência Política | Pág 159 | Cap. 7 – As formas de Estado e o Exercício do Poder Político | O Estado federal se origina de um ato regido pelo direito público interno, diferentemente da Confederação, que nasce de um ato de direito internacional. | Tanto a Confederação quanto o Estado federal se originam de um ato de direito internacional, possuindo relações de natureza constitucional apenas no plano externo. | O Estado federal não se origina de um ato de direito internacional, mas sim num ato regido pelo direito público interno. | | |
| Ciência Política | Pág 159 | Cap. 7 – As formas de Estado e o Exercício do Poder Político | No Estado federal, as relações exteriores são de exclusiva competência do governo federal, que se apresenta no plano externo como uma unidade político-territorial. | No Estado federal, cada estado-membro mantém plena autonomia para estabelecer suas próprias relações exteriores, sem a necessidade de coordenação pelo poder central. | As relações exteriores são de exclusiva competência do Estado federal, que se apresenta no plano externo como uma unidade político-territorial. | | |
| Ciência Política | Pág 159 | Cap. 7 – As formas de Estado e o Exercício do Poder Político | A estrutura federal de Estado contém um delicado arranjo de relações de poder que se baseia na negociação, buscando um equilíbrio dinâmico entre o poder central e os poderes locais. | O Estado federal é um sistema estático, no qual a atribuição de competências é rígida e não há superposição de poderes que exija negociação. | O Estado federal gera superposição de competências, manifestada por relações de poder baseadas na negociação, buscando um equilíbrio dinâmico. | | |
| Ciência Política | Pág 160 | Cap. 7 – As formas de Estado e o Exercício do Poder Político | A subordinação econômica dos estados-membros ocorre quando a destinação de recursos e a distribuição da renda não asseguram o exercício autônomo das competências locais. | A subordinação econômica na federação é irrelevante, pois a distribuição de recursos é estritamente igualitária, garantindo a autonomia de todos os estados-membros. | A subordinação é econômica quando a destinação de recursos e distribuição da renda não assegura o exercício autônomo das competências locais. | | |
| Ciência Política | Pág 160 | Cap. 7 – As formas de Estado e o Exercício do Poder Político | O direito de intervenção do governo federal é fundamentado na necessidade de convergência das políticas, mas pode converter-se em instrumento de dependência. | O direito de intervenção do governo federal é sempre um instrumento legítimo de convergência política e não pode se converter em instrumento de dependência. | O fundamento do poder de intervenção é a necessidade de convergência das políticas, mas o direito de intervenção pode converter-se em instrumento de dependência. | | |
| Ciência Política | Pág 160 | Cap. 7 – As formas de Estado e o Exercício do Poder Político | A representação política bicameral é uma expressão orgânica da federação, na qual os estados-membros se encontram representados em condições de igualdade no Senado. | O sistema federal brasileiro exige uma representação unicameral, sendo a representação em condições de igualdade reservada à Câmara dos Deputados. | A expressão orgânica do equilíbrio de poder federativo é a representação bicameral, onde os estados-membros se representam em condições de igualdade no Senado. | | |
| Ciência Política | Pág 160 | Cap. 7 – As formas de Estado e o Exercício do Poder Político | No Brasil, a compatibilização entre as instâncias legislativas federal, estadual e municipal é expressa no princípio da supremacia jurídica federal sobre as demais. | No Brasil, a legislação municipal tem supremacia sobre as demais instâncias, pois é a instância mais próxima do cidadão. | Os limites de compatibilização entre as três instâncias legislativas no Brasil estão expressos no princípio da supremacia jurídica federal sobre as demais. | | |
| Ciência Política | Pág 161 | Cap. 7 – As formas de Estado e o Exercício do Poder Político | O parlamentarismo é um sistema de governo que busca o equilíbrio através da fusão de órgãos no Parlamento, onde os membros do governo são, ao mesmo tempo, membros da assembleia. | O parlamentarismo é baseado na separação estrita entre Executivo e Legislativo, sendo o Executivo totalmente independente da assembleia. | No parlamentarismo, o equilíbrio se obtém através da fusão dos dois órgãos no Parlamento, pois os membros do governo são membros da assembleia. | | |
