| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Ciência Política | Cap 2 | Cap. 2 – A questão do Poder | O poder político é o poder supremo em relação a todos os outros poderes (econômico, militar, ideológico) em uma sociedade, e a sua legitimidade deriva da necessidade de convivência social. | O poder econômico é o poder supremo em toda sociedade, estando o poder político subordinado a ele, e sua legitimidade depende apenas da coação. | O poder político é o poder supremo ao qual todos os outros poderes sociais estão submetidos. | | |
| Ciência Política | Cap 2 | Cap. 2 – A questão do Poder | A despersonalização do poder, que exige a aceitação da dominação de um ente abstrato (como o Estado), facilita a submissão e a aceitação de suas determinações. | A despersonalização do poder dificulta a submissão e a aceitação da dominação, pois a primazia do poder pertence sempre a indivíduos reais e não a entes abstratos. | A partir do momento em que se é obrigado a aceitar a dominação de um ente abstrato, fica facilitada a submissão e aceitação de suas determinações. | | |
| Ciência Política | Cap 2 | Cap. 2 – A questão do Poder | O exercício do poder está diretamente vinculado à cultura dos grupos sociais, pois o que tem ou não valor naquela sociedade (seja a força física ou o saber) define quem exercerá mais poder. | O exercício do poder é um processo social que independe da cultura do grupo, sendo sempre a força física o componente principal do poder. | O exercício do poder está diretamente vinculado à cultura dos grupos sociais que estabelecem aquilo que tem ou não valor naquela sociedade particular. | | |
| Ciência Política | Cap 2 | Cap. 2 – A questão do Poder | O poder pressupõe sempre uma relação entre duas ou mais pessoas, repousando sobre a força e superioridade de uma parte e, simultaneamente, sobre a dependência ou fraqueza da outra. | O poder só é configurado quando há uma relação de estrita igualdade ou independência total entre as partes, sem qualquer vestígio de superioridade ou fraqueza. | O poder repousa sobre a força e superioridade de uma parte e, simultaneamente, sobre a relativa dependência ou fraqueza da outra. | | |
| Ciência Política | Cap 2 | Cap. 2 – A questão do Poder | Segundo Friedrich, a origem do poder que é uma posse é primordialmente a coação, mas o poder relacional tem origem consensual e cooperativa, dependendo da capacidade de organização do líder. | Segundo Friedrich, tanto o poder como posse quanto o poder relacional têm sua origem exclusivamente na coação. | A origem do poder como posse é a coação, mas a origem do poder relacional é consensual e cooperativa, dependendo da capacidade do líder de organizar seus seguidores. | | |
| Ciência Política | Cap 2 | Cap. 2 – A questão do Poder | A base essencial do poder está na submissão e no conformismo dos membros do grupo sobre o qual ele atua. | A base essencial do poder reside na resistência ativa e na recusa do conformismo por parte dos membros do grupo dominado. | A base essencial do poder está na submissão e no conformismo dos membros do grupo sobre o qual atua. | | |
| Ciência Política | Cap 2 | Cap. 2 – A questão do Poder | Talcott Parsons concebe o poder “como um meio simbólico generalizado que circula de forma muito semelhante ao dinheiro”. | Parsons define o poder como a força física pura, exercida diretamente pelo governo, sem qualquer analogia com meios simbólicos como o dinheiro. | Parsons concebe o poder como um meio simbólico generalizado que circula de forma muito semelhante ao dinheiro. | | |
| Ciência Política | Cap 2 | Cap. 2 – A questão do Poder | Parsons entende o poder como "a capacidade de um sistema social para mobilizar recursos para atingir metas coletivas". | Parsons entende o poder como a capacidade de um sistema social para resistir à mobilização de recursos em prol de objetivos individuais. | Parsons define o poder como a capacidade de um sistema social para mobilizar recursos para atingir metas coletivas. | | |
| Ciência Política | Cap 2 | Cap. 2 – A questão do Poder | Aristóteles identificou o poder paterno (exercido no interesse dos filhos), o despótico (exercido no interesse do senhor de escravos) e o político (exercido no interesse de governante e governado). | Aristóteles definiu o poder político como exercido exclusivamente no interesse do governante, caracterizando-o como um poder despótico. | Aristóteles diferenciou os tipos de poder com base nos sujeitos beneficiários: pai/filhos; senhor/escravos; governante/governado. | | |
