| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Ciência Política | Cap 1 | Cap. 1 - Introdução à Ciência Política | A ciência política é uma ciência social que estuda o exercício, a distribuição e a organização do poder na sociedade. | A ciência política é primariamente uma ciência exata que se concentra na análise da moralidade e da ética social, excluindo o estudo da organização do poder. | A ciência política é uma ciência social focada no estudo do exercício, distribuição e organização do poder na sociedade. | | |
| Ciência Política | Cap 1 | Cap. 1 - Introdução à Ciência Política | O conceito de política é derivado do adjetivo grego *politikós*, originado de *polis*, significando tudo que se refere à cidade, sendo urbano, civil e público. | O conceito de política deriva do termo grego *ídion*, que era empregado para indicar a esfera dos assuntos privados e pessoais do indivíduo, não ligados à *polis*. | O termo política deriva de *politikós* (relativo à *polis* ou cidade), enquanto *ídion* era o termo para o homem carente, não político. | | |
| Ciência Política | Cap 1 | Cap. 1 - Introdução à Ciência Política | Aristóteles considerava o homem um *zoon politikón* (animal político), pois o via como um ser que só se realiza plenamente vivendo na *polis*. | Aristóteles considerava que o homem alcançava sua realização plena na esfera privada e que a vida na *polis* era uma dimensão secundária de sua existência. | Para Aristóteles, a *polis* era a dimensão suprema da existência onde o homem se realizava como tal. | | |
| Ciência Política | Cap 1 | Cap. 1 - Introdução à Ciência Política | Max Weber afirma que todo homem que se dedica à política aspira ao poder, podendo utilizá-lo como instrumento para fins ideais ou egoístas, ou desejá-lo "pelo poder" em si. | Max Weber afirma que a política é uma atividade que ocorre independentemente da aspiração por poder, sendo unicamente um instrumento a serviço do bem comum. | Segundo Weber, a aspiração ao poder é central para o homem que se entrega à política, seja qual for seu objetivo final. | | |
| Ciência Política | Cap 1 | Cap. 1 - Introdução à Ciência Política | Carl Schmitt concebeu a política sob uma ideia maniqueísta, reduzindo a categoria especificamente política à distinção fundamental entre amigo e inimigo. | Carl Schmitt defendeu que a categoria especificamente política é a distinção moral entre o bem e o mal, separada da esfera das relações internacionais. | A distinção política específica para Schmitt é a de amigo e inimigo, diferente das categorias morais (bem/mal) e estéticas (belo/feio). | | |
| Ciência Política | Cap 1 | Cap. 1 - Introdução à Ciência Política | Para Schmitt, o inimigo político não precisa ser moralmente mau ou feio, bastando ser existencialmente distinto e estranho em um sentido particularmente intensivo. | Carl Schmitt exigia que o inimigo político fosse necessariamente um concorrente econômico, moralmente malicioso e que não houvesse possibilidade de fazer negócios com ele. | Schmitt afirmava que o inimigo político é simplesmente o outro, o estranho, e pode-se até fazer negócios com ele, desde que seja existencialmente distinto. | | |
| Ciência Política | Cap 1 | Cap. 1 - Introdução à Ciência Política | A visão maniqueísta de Carl Schmitt induz à unidade do Estado, visando ao enfrentamento do inimigo externo, vendo a pluralidade de opiniões como prejudicial à união de todos. | A visão de Carl Schmitt sobre a política promovia o pluralismo interno e aceitava questionamentos como alternativa à concepção binária. | A política, para Schmitt, é entendida como oposição ao estranho, e a pluralidade interna é vista como prejudicial à união contra o inimigo comum. | | |
| Ciência Política | Cap 1 | Cap. 1 - Introdução à Ciência Política | Parsons considera o aspecto político de um sistema social como centralizado na geração e na distribuição do poder. | Parsons considera que o aspecto político de um sistema social se concentra exclusivamente na manutenção das tradições culturais, desvinculado da geração e distribuição de poder. | Para Parsons, o aspecto político está centralizado na geração e distribuição do poder dentro de um sistema social. | | |
| Ciência Política | Cap 1 | Cap. 1 - Introdução à Ciência Política | Karl Deutsch define a política como a tomada de decisões através de meios públicos, diferenciando-a da tomada de decisões pessoais e econômicas. | Karl Deutsch define a política como o processo de tomada de decisões de caráter estritamente pessoal e privado, sem impacto nas vastas comunidades de povos. | Deutsch enfatiza que a política é a tomada de decisões por meios públicos, focada na direção e autoadministração de vastas comunidades. | | |
