| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Ciência Política | Pág 125 | Cap. 5 – Soberania Estatal | A soberania é entendida como o caráter supremo de um poder, no sentido de que dito poder não admite nenhum outro, nem acima nem concorrendo com ele. | A soberania é entendida como um poder delegado e condicional, que admite a concorrência de poderes internos e externos em igualdade de condições. | A soberania é o caráter supremo do poder que não admite a existência de outro poder superior ou concorrente a ele. | | |
| Ciência Política | Pág 125 | Cap. 5 – Soberania Estatal | Jean Bodin definiu a soberania como o poder absoluto e perpétuo de uma república, cuja qualidade primordial é o poder de dar leis, anulá-las e interpretá-las sem limitação. | Jean Bodin defendia que a soberania é um poder limitado no tempo e revogável, cuja principal atribuição é a submissão às leis criadas pelos súditos. | Bodin definiu a soberania como o poder absoluto e perpétuo, sendo o principal atributo o poder de dar, anular e interpretar leis. | | |
| Ciência Política | Pág 125 | Cap. 5 – Soberania Estatal | Para Rousseau, a soberania, sendo o exercício da vontade geral, jamais deve alienar-se, e o soberano (o ser coletivo) não pode ser representado senão por ele mesmo. | Rousseau defendia que a soberania, uma vez transferida ao soberano, deve ser delegada e exercida por representantes eleitos, já que a vontade pode ser transmitida. | Rousseau defende que a soberania reside no povo, é inalienável e não pode ser representada, pois o poder se transmite, mas a vontade jamais. | | |
| Ciência Política | Pág 126 | Cap. 5 – Soberania Estatal | A soberania interna é o *imperium* que o Estado exerce sobre o território e a população, representando a superioridade do poder político frente aos demais poderes sociais. | A soberania interna é a manifestação da independência do poder do Estado perante outros Estados e organizações internacionais. | A soberania interna é o *imperium* exercido dentro do território e a superioridade do poder político sobre os demais poderes sociais. | | |
| Ciência Política | Pág 126 | Cap. 5 – Soberania Estatal | O processo histórico da afirmação da soberania significou a luta pela independência do poder real diante do Sacro Império Romano Germânico, da Igreja e dos poderes feudais internos. | A afirmação da soberania ocorreu de forma pacífica e colaborativa entre o poder real, a Igreja e o Império, pois havia um consenso sobre a unidade estatal desde o início da Idade Média. | O conceito de soberania surge historicamente como a afirmação da independência do poder do rei diante da Igreja, do Império e dos poderes feudais. | | |
| Ciência Política | Pág 126 | Cap. 5 – Soberania Estatal | O poder do rei, no contexto da afirmação da soberania, era considerado originário (não delegado), perpétuo e absoluto, com a função especial de ditar leis. | O poder do rei era considerado delegado, temporário e limitado, derivando sua autoridade dos poderes feudais e da submissão ao Império. | O poder real, afirmado pela soberania, era originário, perpétuo e absoluto, e não delegado ou recebido de outro. | | |
| Ciência Política | Pág 126 | Cap. 5 – Soberania Estatal | Jellinek afirma que a soberania, em sua origem histórica, é uma concepção de índole política que somente mais tarde se condensou em uma de índole jurídica. | Jellinek considerava que a soberania é um conceito estritamente jurídico desde sua origem, nunca tendo tido conotação política. | Para Jellinek, a soberania nasceu como uma concepção política e, posteriormente, se tornou jurídica, sendo considerada por ele uma independência jurídica. | | |
| Ciência Política | Pág 127 | Cap. 5 – Soberania Estatal | As três ideias básicas implícitas no conceito de soberania são a supremacia jurídica, a autonomia do poder e a fonte originária desse poder. | As três ideias básicas da soberania são a delegação do poder, a submissão à ordem feudal e a dependência econômica. | O conceito de soberania implica as ideias de supremacia jurídica, autonomia do poder e fonte originária do poder. | | |
| Ciência Política | Pág 127 | Cap. 5 – Soberania Estatal | A soberania política se manifesta na autonomia do poder, destacando o monopólio por parte do Estado de toda força que gera uma coação incondicional. | A soberania política implica a total delegação do monopólio da força e da coação a grupos sociais internos e externos. | A soberania política afirma a autonomia do poder, sendo o monopólio da coação incondicional uma de suas manifestações. | | |
| Ciência Política | Pág 127 | Cap. 5 – Soberania Estatal | Soberania popular significa que, dentro de determinado ordenamento político, nenhuma instância tem legitimidade se não for constituída ou derivada da vontade soberana do povo. | Soberania popular implica que a fonte primária do poder reside na vontade inquestionável do monarca, independentemente da vontade do povo. | A soberania popular se relaciona à fonte originária do poder, que é a vontade soberana do povo. | | |
| Ciência Política | Pág 127 | Cap. 5 – Soberania Estatal | A teoria da soberania era adequada ao Estado absolutista e ao pressuposto de autoridade real, onde o rei mandava e o povo obedecia sem que o rei devesse obediência a ninguém. | A teoria da soberania surgiu como um protesto contra os poderes dos Estados absolutistas, defendendo a limitação do poder real pelas leis feudais e pela Igreja. | A doutrina da soberania caracterizou os Estados absolutistas ao expressar que o rei mandava e não devia obediência a ninguém. | | |
| Ciência Política | Pág 127 | Cap. 5 – Soberania Estatal | Para Jellinek, a Antiguidade não conheceu o conceito de soberania porque lhe faltava a oposição do poder do Estado a outros poderes, fator determinante para seu surgimento. | Jellinek acreditava que o conceito de soberania foi plenamente desenvolvido na Antiguidade clássica, pois lá já havia uma distinção clara entre os poderes estatal e religioso. | Jellinek afirma que a Antiguidade careceu do conceito de soberania devido à ausência de oposição do poder do Estado a outros poderes. | | |
| Ciência Política | Pág 128 | Cap. 5 – Soberania Estatal | A consolidação da dominação real ocorreu quando o poder supremo de justiça foi adquirido, assumindo o poder legislativo e de polícia. | A soberania real foi consolidada quando o monarca transferiu o poder legislativo e de polícia para os senhores feudais, enfraquecendo o poder central de justiça. | O poder real se consolidou ao monopolizar o poder supremo de justiça e assumir o poder legislativo e de polícia, passando de superior a supremo. | | |
| Ciência Política | Pág 129 | Cap. 5 – Soberania Estatal | O primeiro grande fenômeno no processo de afirmação do poder estatal contra entidades supranacionais foi a constituição das igrejas nacionais, anterior e acentuada pela Reforma Protestante. | A constituição de igrejas nacionais foi um fenômeno posterior à Reforma Protestante e não teve relevância na afirmação do poder estatal contra o Papado. | A constituição das igrejas nacionais, anterior à Reforma Protestante, foi o primeiro grande fenômeno de afirmação do poder diante de entidades supranacionais. | | |
| Ciência Política | Pág 129 | Cap. 5 – Soberania Estatal | Nos séculos XVII e XVIII, o Estado se envolveu no campo da economia, estabelecendo alfândegas e indústrias, promovendo o mercantilismo. | Nos séculos XVII e XVIII, o Estado moderno adotou políticas de *laissez-faire*, abstendo-se totalmente de intervir na economia, que se tornou organizada por atores privados. | A intervenção do Estado na economia nos séculos XVII e XVIII, com criação de alfândegas e indústrias, levou ao mercantilismo. | | |
| Ciência Política | Pág 129 | Cap. 5 – Soberania Estatal | O processo de afirmação do Estado moderno pode ser caracterizado como uma expropriação política e nacionalização do poder, resultando na monopolização e concentração da força na entidade estatal. | O Estado moderno foi formado por um processo de distribuição e descentralização do poder, que levou à fragmentação da força em diversos corpos intermediários. | O processo de afirmação do Estado foi uma expropriação política que levou à monopolização e concentração de toda força e poder na entidade estatal. | | |
| Ciência Política | Pág 131 | Cap. 5 – Soberania Estatal | A evolução histórica da soberania partiu de uma concepção subjetiva e personalizada no príncipe, instalando-se depois na nação, e por fim adquirindo caráter impessoal e objetivo, expresso pela soberania da Constituição. | O conceito de soberania sempre manteve seu caráter impessoal e objetivo, desde o absolutismo até os dias atuais, sendo a figura do príncipe irrelevante para sua definição. | A soberania evoluiu de uma concepção subjetiva (príncipe) para uma impessoal e objetiva (Constituição/direito). | | |
| Ciência Política | Pág 131 | Cap. 5 – Soberania Estatal | Bodin, ao definir o poder soberano como subjetivo, afirma que este pode assentar-se sobre um indivíduo (príncipe), uma classe da nação ou a nação inteira. | Bodin limitou o poder soberano unicamente ao príncipe, sendo incompatível com a soberania de uma aristocracia ou do povo. | O poder subjetivo, para Bodin, pode assentar-se no príncipe, numa aristocracia ou no povo. | | |
| Ciência Política | Pág 132 | Cap. 5 – Soberania Estatal | Bodin buscava a restauração da paz e da ordem na França do século XVI, defendendo o estabelecimento de uma monarquia forte e a supremacia do rei na organização política. | Bodin, em *Os seis livros da república*, defendia a guerra civil e a fragmentação do poder entre as facções religiosas como meios para alcançar a ordem política ideal. | Bodin buscou a paz e a ordem na França do século XVI e considerava o poder soberano a condição necessária para a existência do Estado. | | |
| Ciência Política | Pág 132 | Cap. 5 – Soberania Estatal | Para Bodin, o soberano é a fonte do direito e não pode estar submetido a nenhum vínculo legal, o que configura seu poder como absoluto e inalienável. | Bodin sustentou que o soberano está totalmente submetido às leis criadas pelos súditos, e, por isso, seu poder é revogável e temporário. | Bodin define a soberania como um poder absoluto e perpétuo, e como o soberano cria o direito, não pode estar submetido a vínculo legal. | | |
| Ciência Política | Pág 133 | Cap. 5 – Soberania Estatal | Bodin diferencia Estado e governo, defendendo que a característica do Estado reside na posse da soberania, e a forma de governo depende de como o soberano exerce sua função. | Bodin considera Estado e governo sinônimos, sendo que a soberania é uma característica da forma de governo, e não uma qualidade essencial do Estado. | Bodin diferencia Estado (posse da soberania) e governo (sistema adotado pelo soberano para exercer a função). | | |
| Ciência Política | Pág 133 | Cap. 5 – Soberania Estatal | Bodin admite limitações ao poder do soberano, originadas da lei divina, do direito natural e dos deveres morais decorrentes de tratados. | Bodin não admitia nenhuma limitação ao poder do soberano, que era totalmente irrestrito e autocrático em relação às leis divinas, naturais ou aos tratados. | Bodin admite limitações ao poder do soberano pela lei divina, o direito natural e os deveres morais que nascem da obediência aos tratados. | | |
| Ciência Política | Pág 133 | Cap. 5 – Soberania Estatal | A grande contribuição de Hugo Grocio à doutrina da soberania foi no plano das relações entre os Estados, influenciando os princípios da Paz de Westfália em 1648. | Grocio se concentrou exclusivamente na soberania interna (relação entre súditos e monarca), e suas teorias não tiveram relevância no direito internacional estabelecido pela Paz de Westfália. | Grocio contribuiu significativamente para a soberania externa e influenciou os princípios básicos das relações internacionais na Paz de Westfália. | | |
